time, inp, bininp, pre, binpre
15:40:42, 536, 000110000100000, 536, 0001100001
15:40:42, 13312, 000000000010110, 13312, 00000000001011
15:40:42, 16642, 010000001000001, 16384, 000000000000001
15:40:43, 4616, 000100000100100, 20480, 000000000000101
15:40:44, 3104, 000001000011000, 20480, 000000000000101
15:40:44, 1096, 000100100010000, 20480, 000000000000101
15:40:45, 4353, 100000001000100, 20480, 000000000000101
15:40:46, 17409, 100000000010001, 20480, 000000000000101
15:40:48, 28672, 000000000000111, 20480, 000000000000101
15:40:49, 2192, 000010010001000, 20480, 000000000000101
15:40:52, 16480, 000001100000001, 16384, 000000000000001
15:40:53, 70, 011000100000000, 16384, 000000000000001
15:40:55, 37, 101001000000000, 16384, 000000000000001
15:40:57, 16900, 001000000100001, 16384, 000000000000001
15:40:59, 20992, 000000000100101, 16384, 000000000000001
15:41:01, 9218, 010000000010010, 16384, 000000000000001
15:41:03, 4130, 010001000000100, 16384, 000000000000001
15:41:05, 9248, 000001000010010, 16384, 000000000000001
15:41:07, 16704, 000000101000001, 16384, 000000000000001
15:41:09, 388, 001000011000000, 16384, 000000000000001
15:41:11, 2192, 000010010001000, 16384, 000000000000001
15:41:13, 2240, 000000110001000, 16384, 000000000000001
15:41:15, 800, 000001001100000, 16384, 000000000000001
15:41:17, 770, 010000001100000, 16384, 000000000000001
15:41:19, 9472, 000000001010010, 16384, 000000000000001
15:41:21, 4610, 010000000100100, 16384, 000000000000001
15:41:23, 134, 011000010000000, 16384, 000000000000001
15:41:25, 578, 010000100100000, 16384, 000000000000001
15:41:27, 548, 001001000100000, 16384, 000000000000001
15:41:29, 70, 011000100000000, 16384, 000000000000001
15:41:31, 100, 001001100000000, 16384, 000000000000001
