time, inp, bininp, pre, binpre
19:37:33, 417, 100001011000, 0, 0
19:37:33, 80, 000010100000, 0, 0
19:37:33, 260, 001000001000, 1, 1
19:37:33, 16, 000010000000, 64, 0000001
19:37:33, 0, 000000000000, 0, 0
19:37:33, 16, 000010000000, 64, 0000001
19:37:33, 8, 000100000000, 0, 0
19:37:33, 0, 000000000000, 0, 0
19:37:33, 64, 000000100000, 16, 00001
19:37:33, 512, 000000000100, 0, 0
19:37:33, 2, 010000000000, 512, 0000000001
19:37:33, 0, 000000000000, 512, 0000000001
19:37:33, 0, 000000000000, 512, 0000000001
19:37:33, 32, 000001000000, 1, 1
19:37:33, 0, 000000000000, 512, 0000000001
19:37:33, 67, 110000100000, 16, 00001
19:37:33, 256, 000000001000, 1, 1
19:37:33, 0, 000000000000, 512, 0000000001
19:37:33, 257, 100000001000, 2, 01
19:37:33, 48, 000011000000, 1, 1
19:37:33, 8, 000100000000, 512, 0000000001
19:37:33, 0, 000000000000, 512, 0000000001
19:37:33, 0, 000000000000, 512, 0000000001
19:37:33, 1056, 000001000010, 1, 1
19:37:33, 528, 000010000100, 32, 000001
19:37:33, 1024, 000000000010, 32, 000001
19:37:33, 528, 000010000100, 32, 000001
19:37:33, 257, 100000001000, 2, 01
19:37:33, 3076, 001000000011, 32, 000001
19:37:33, 648, 000100010100, 1, 1
19:37:33, 133, 101000010000, 2, 01
19:37:33, 16, 000010000000, 32, 000001
19:37:33, 16, 000010000000, 32, 000001
19:37:33, 16, 000010000000, 32, 000001
19:37:33, 2049, 100000000001, 2, 01
19:37:33, 0, 000000000000, 0, 0
19:37:33, 2064, 000010000001, 1, 1
19:37:33, 1536, 000000000110, 4, 001
19:37:33, 0, 000000000000, 0, 0
19:37:33, 520, 000100000100, 16, 00001
19:37:33, 0, 000000000000, 0, 0
19:37:33, 0, 000000000000, 0, 0
19:37:33, 1026, 010000000010, 1, 1
19:37:33, 2, 010000000000, 1, 1
19:37:33, 16, 000010000000, 32, 000001
19:37:33, 0, 000000000000, 0, 0
19:37:33, 0, 000000000000, 0, 0
19:37:33, 20, 001010000000, 1, 1
19:37:33, 2, 010000000000, 1, 1
19:37:33, 960, 000000111100, 1, 1
19:37:33, 32, 000001000000, 1, 1
19:37:33, 8, 000100000000, 128, 00000001
19:37:33, 1088, 000000100010, 1, 1
19:37:33, 519, 111000000100, 8, 0001
19:37:34, 644, 001000010100, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 5, 101000000000, 2, 01
19:37:34, 2048, 000000000001, 1, 1
19:37:34, 4, 001000000000, 1, 1
19:37:34, 1024, 000000000010, 2, 01
19:37:34, 8, 000100000000, 128, 00000001
19:37:34, 16, 000010000000, 4, 001
19:37:34, 512, 000000000100, 1, 1
19:37:34, 64, 000000100000, 1, 1
19:37:34, 1028, 001000000010, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 21, 101010000000, 2, 01
19:37:34, 0, 000000000000, 0, 0
19:37:34, 2048, 000000000001, 1, 1
19:37:34, 1025, 100000000010, 2, 01
19:37:34, 128, 000000010000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 2944, 000000011101, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 4, 001000000000, 1, 1
19:37:34, 512, 000000000100, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 32, 000001000000, 1, 1
19:37:34, 4, 001000000000, 1, 1
19:37:34, 1088, 000000100010, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 33, 100001000000, 2, 01
19:37:34, 0, 000000000000, 0, 0
19:37:34, 8, 000100000000, 128, 00000001
19:37:34, 2, 010000000000, 1, 1
19:37:34, 256, 000000001000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 8, 000100000000, 128, 00000001
19:37:34, 128, 000000010000, 1, 1
19:37:34, 16, 000010000000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 66, 010000100000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 68, 001000100000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 256, 000000001000, 1, 1
19:37:34, 16, 000010000000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 1064, 000101000010, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 512, 000000000100, 1, 1
19:37:34, 640, 000000010100, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 0, 000000000000, 0, 0
19:37:34, 256, 000000001000, 1, 1
19:37:34, 132, 001000010000, 1, 1
19:37:34, 2, 010000000000, 1, 1
19:37:34, 2048, 000000000001, 1, 1
19:37:34, 2052, 001000000001, 1, 1
19:37:34, 258, 010000001000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 16, 000010000000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 512, 000000000100, 1, 1
19:37:34, 128, 000000010000, 1, 1
19:37:34, 0, 000000000000, 0, 0
19:37:34, 1, 100000000000, 2, 01
19:37:34, 2568, 000100000101, 1, 1
19:37:34, 400, 000010011000, 1, 1
19:37:34, 18, 010010000000, 1, 1
19:37:35, 1, 100000000000, 2, 01
19:37:35, 1024, 000000000010, 1, 1
19:37:35, 2048, 000000000001, 1, 1
19:37:35, 16, 000010000000, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 1024, 000000000010, 1, 1
19:37:35, 586, 010100100100, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 1026, 010000000010, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 0, 000000000000, 0, 0
19:37:35, 2304, 000000001001, 1, 1
19:37:35, 1026, 010000000010, 1, 1
19:37:35, 72, 000100100000, 1, 1
19:37:35, 2048, 000000000001, 1, 1
19:37:35, 64, 000000100000, 1, 1
19:37:35, 8, 000100000000, 2, 01
19:37:35, 48, 000011000000, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 0, 000000000000, 0, 0
19:37:35, 512, 000000000100, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 304, 000011001000, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 0, 000000000000, 0, 0
19:37:35, 1, 100000000000, 2, 01
19:37:35, 2, 010000000000, 1, 1
19:37:35, 0, 000000000000, 0, 0
19:37:35, 2, 010000000000, 1, 1
