time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 512	 0	 0000000001	 0	 [10]	 []	 []
12:57:01	 256	 0	 0000000010	 0	 [9]	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 128	 0	 0000000100	 0	 [8]	 []	 []
12:57:01	 32	 0	 0000010000	 0	 [6]	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 512	 0	 0000000001	 0	 [10]	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:01	 1	 0	 1000000000	 0	 [1]	 []	 []
12:57:01	 2	 0	 0100000000	 0	 [2]	 []	 []
12:57:01	 128	 0	 0000000100	 0	 [8]	 []	 []
12:57:01	 8	 0	 0001000000	 0	 [4]	 []	 []
12:57:01	 129	 0	 1000000100	 0	 [1, 8]	 []	 []
12:57:01	 16	 0	 0000100000	 0	 [5]	 []	 []
12:57:01	 0	 0	 0000000000	 0	 []	 []	 []
12:57:02	 512	 0	 0000000001	 0	 [10]	 []	 []
12:57:02	 0	 0	 0000000000	 0	 []	 []	 []
12:57:02	 0	 0	 0000000000	 0	 []	 []	 []
12:57:02	 0	 0	 0000000000	 0	 []	 []	 []
12:57:02	 64	 0	 0000001000	 0	 [7]	 []	 []
12:57:02	 0	 0	 0000000000	 0	 []	 []	 []
12:57:02	 64	 0	 0000001000	 0	 [7]	 []	 []
12:57:02	 68	 0	 0010001000	 0	 [3, 7]	 []	 []
12:57:02	 8	 0	 0001000000	 0	 [4]	 []	 []
12:57:02	 2	 0	 0100000000	 0	 [2]	 []	 []
12:57:02	 0	 0	 0000000000	 0	 []	 []	 []
12:57:02	 1	 128	 1000000000	 00000001	 [1]	 [8]	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 16	 0	 0000100000	 0	 [5]	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 514	 0	 0100000001	 0	 [2, 10]	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 1	 128	 1000000000	 00000001	 [1]	 [8]	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 2	 512	 0100000000	 0000000001	 [2]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
12:57:02	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
