time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre
20:29:55	 4	 0	 001000000000	 0	 [4]	 []
20:29:55	 64	 0	 000000100000	 0	 [64]	 []
20:29:55	 2180	 0	 001000010001	 0	 [4, 128, 2048]	 []
20:29:55	 3328	 132	 000000001011	 00100001	 [256, 1024, 2048]	 [4, 128]
20:29:55	 48	 0	 000011000000	 0	 [16, 32]	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 256	 3072	 000000001000	 000000000011	 [256]	 [1024, 2048]
20:29:55	 128	 2052	 000000010000	 001000000001	 [128]	 [4, 2048]
20:29:55	 1	 0	 100000000000	 0	 [1]	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 1024	 2559	 000000000010	 111111111001	 [1024]	 [1, 2, 4, 8, 16, 32, 64, 128, 256, 2048]
20:29:55	 288	 3088	 000001001000	 000010000011	 [32, 256]	 [16, 1024, 2048]
20:29:55	 5	 2176	 101000000000	 000000010001	 [1, 4]	 [128, 2048]
20:29:55	 8	 0	 000100000000	 0	 [8]	 []
20:29:55	 76	 2176	 001100100000	 000000010001	 [4, 8, 64]	 [128, 2048]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 2434	 36	 010000011001	 001001	 [2, 128, 256, 2048]	 [4, 32]
20:29:55	 514	 2432	 010000000100	 000000011001	 [2, 512]	 [128, 256, 2048]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 68	 2184	 001000100000	 000100010001	 [4, 64]	 [8, 128, 2048]
20:29:55	 128	 2306	 000000010000	 010000001001	 [128]	 [2, 256, 2048]
20:29:55	 32	 272	 000001000000	 000010001	 [32]	 [16, 256]
20:29:55	 1024	 2559	 000000000010	 111111111001	 [1024]	 [1, 2, 4, 8, 16, 32, 64, 128, 256, 2048]
20:29:55	 2056	 454	 000100000001	 011000111	 [8, 2048]	 [2, 4, 64, 128, 256]
20:29:55	 32	 272	 000001000000	 000010001	 [32]	 [16, 256]
20:29:55	 64	 12	 000000100000	 0011	 [64]	 [4, 8]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 128	 2306	 000000010000	 010000001001	 [128]	 [2, 256, 2048]
20:29:55	 320	 2190	 000000101000	 011100010001	 [64, 256]	 [2, 4, 8, 128, 2048]
20:29:55	 4	 2248	 001000000000	 000100110001	 [4]	 [8, 64, 128, 2048]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 16	 32	 000010000000	 000001	 [16]	 [32]
20:29:55	 132	 2306	 001000010000	 010000001001	 [4, 128]	 [2, 256, 2048]
20:29:55	 45	 2240	 101101000000	 000000110001	 [1, 4, 8, 32]	 [64, 128, 2048]
20:29:55	 1	 44	 100000000000	 001101	 [1]	 [4, 8, 32]
20:29:55	 1280	 2178	 000000001010	 010000010001	 [256, 1024]	 [2, 128, 2048]
20:29:55	 5	 40	 101000000000	 000101	 [1, 4]	 [8, 32]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 1056	 13	 000001000010	 1011	 [32, 1024]	 [1, 4, 8]
20:29:55	 20	 41	 001010000000	 100101	 [4, 16]	 [1, 8, 32]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 610	 2445	 010001100100	 101100011001	 [2, 32, 64, 512]	 [1, 4, 8, 128, 256, 2048]
20:29:55	 2048	 390	 000000000001	 011000011	 [2048]	 [2, 4, 128, 256]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 6	 2280	 011000000000	 000101110001	 [2, 4]	 [8, 32, 64, 128, 2048]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 2057	 166	 100100000001	 01100101	 [1, 8, 2048]	 [2, 4, 32, 128]
20:29:55	 264	 2279	 000100001000	 111001110001	 [8, 256]	 [1, 2, 4, 32, 64, 128, 2048]
20:29:55	 1024	 2559	 000000000010	 111111111001	 [1024]	 [1, 2, 4, 8, 16, 32, 64, 128, 256, 2048]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 320	 2210	 000000101000	 010001010001	 [64, 256]	 [2, 32, 128, 2048]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 4	 41	 001000000000	 100101	 [4]	 [1, 8, 32]
20:29:55	 0	 0	 000000000000	 0	 []	 []
20:29:55	 18	 3040	 010010000000	 000001111101	 [2, 16]	 [32, 64, 128, 256, 512, 2048]
20:29:56	 136	 2343	 000100010000	 111001001001	 [8, 128]	 [1, 2, 4, 32, 256, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 32	 591	 000001000000	 1111001001	 [32]	 [1, 2, 4, 8, 64, 512]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 264	 2279	 000100001000	 111001110001	 [8, 256]	 [1, 2, 4, 32, 64, 128, 2048]
20:29:56	 64	 546	 000000100000	 0100010001	 [64]	 [2, 32, 512]
20:29:56	 6	 2280	 011000000000	 000101110001	 [2, 4]	 [8, 32, 64, 128, 2048]
20:29:56	 768	 2274	 000000001100	 010001110001	 [256, 512]	 [2, 32, 64, 128, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 40	 583	 000101000000	 1110001001	 [8, 32]	 [1, 2, 4, 64, 512]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 64	 546	 000000100000	 0100010001	 [64]	 [2, 32, 512]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 2048	 399	 000000000001	 111100011	 [2048]	 [1, 2, 4, 8, 128, 256]
20:29:56	 1	 44	 100000000000	 001101	 [1]	 [4, 8, 32]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 5	 40	 101000000000	 000101	 [1, 4]	 [8, 32]
20:29:56	 24	 37	 000110000000	 101001	 [8, 16]	 [1, 4, 32]
20:29:56	 32	 591	 000001000000	 1111001001	 [32]	 [1, 2, 4, 8, 64, 512]
20:29:56	 66	 2976	 010000100000	 000001011101	 [2, 64]	 [32, 128, 256, 512, 2048]
20:29:56	 4	 41	 001000000000	 100101	 [4]	 [1, 8, 32]
20:29:56	 4	 41	 001000000000	 100101	 [4]	 [1, 8, 32]
20:29:56	 130	 2912	 010000010000	 000001101101	 [2, 128]	 [32, 64, 256, 512, 2048]
20:29:56	 1152	 2310	 000000010010	 011000001001	 [128, 1024]	 [2, 4, 256, 2048]
20:29:56	 128	 2306	 000000010000	 010000001001	 [128]	 [2, 256, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 8	 37	 000100000000	 101001	 [8]	 [1, 4, 32]
20:29:56	 11	 2148	 110100000000	 001001100001	 [1, 2, 8]	 [4, 32, 64, 2048]
20:29:56	 2560	 482	 000000000101	 010001111	 [512, 2048]	 [2, 32, 64, 128, 256]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 2689	 302	 100000010101	 011101001	 [1, 128, 512, 2048]	 [2, 4, 8, 32, 256]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 64	 546	 000000100000	 0100010001	 [64]	 [2, 32, 512]
20:29:56	 1024	 2559	 000000000010	 111111111001	 [1024]	 [1, 2, 4, 8, 16, 32, 64, 128, 256, 2048]
20:29:56	 129	 2574	 100000010000	 011100000101	 [1, 128]	 [2, 4, 8, 512, 2048]
20:29:56	 2568	 231	 000100000101	 11100111	 [8, 512, 2048]	 [1, 2, 4, 32, 64, 128]
20:29:56	 1092	 43	 001000100010	 110101	 [4, 64, 1024]	 [1, 2, 8, 32]
20:29:56	 128	 2048	 000000010000	 000000000001	 [128]	 [2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 16	 46	 000010000000	 011101	 [16]	 [2, 4, 8, 32]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 512	 2275	 000000000100	 110001110001	 [512]	 [1, 2, 32, 64, 128, 2048]
20:29:56	 24	 37	 000110000000	 101001	 [8, 16]	 [1, 4, 32]
20:29:56	 80	 558	 000010100000	 0111010001	 [16, 64]	 [2, 4, 8, 32, 512]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 34	 3021	 010001000000	 101100111101	 [2, 32]	 [1, 4, 8, 64, 128, 256, 512, 2048]
20:29:56	 16	 110	 000010000000	 0111011	 [16]	 [2, 4, 8, 32, 64]
20:29:56	 136	 2567	 000100010000	 111000000101	 [8, 128]	 [1, 2, 4, 512, 2048]
20:29:56	 2048	 643	 000000000001	 1100000101	 [2048]	 [1, 2, 128, 512]
20:29:56	 1	 2732	 100000000000	 001101010101	 [1]	 [4, 8, 32, 128, 512, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 64	 550	 000000100000	 0110010001	 [64]	 [2, 4, 32, 512]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 32	 591	 000001000000	 1111001001	 [32]	 [1, 2, 4, 8, 64, 512]
20:29:56	 40	 583	 000101000000	 1110001001	 [8, 32]	 [1, 2, 4, 64, 512]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 1028	 2281	 001000000010	 100101110001	 [4, 1024]	 [1, 8, 32, 64, 128, 2048]
20:29:56	 132	 2059	 001000010000	 110100000001	 [4, 128]	 [1, 2, 8, 2048]
20:29:56	 384	 2050	 000000011000	 010000000001	 [128, 256]	 [2, 2048]
20:29:56	 8	 37	 000100000000	 101001	 [8]	 [1, 4, 32]
20:29:56	 256	 2178	 000000001000	 010000010001	 [256]	 [2, 128, 2048]
20:29:56	 1026	 3044	 010000000010	 001001111101	 [2, 1024]	 [4, 32, 64, 128, 256, 512, 2048]
20:29:56	 2	 3040	 010000000000	 000001111101	 [2]	 [32, 64, 128, 256, 512, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 1048	 103	 000110000010	 1110011	 [8, 16, 1024]	 [1, 2, 4, 32, 64]
20:29:56	 2048	 643	 000000000001	 1100000101	 [2048]	 [1, 2, 128, 512]
20:29:56	 515	 2216	 110000000100	 000101010001	 [1, 2, 512]	 [8, 32, 128, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 2	 3041	 010000000000	 100001111101	 [2]	 [1, 32, 64, 128, 256, 512, 2048]
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 0	 0	 000000000000	 0	 []	 []
20:29:56	 2048	 643	 000000000001	 1100000101	 [2048]	 [1, 2, 128, 512]
20:29:56	 1034	 3061	 010100000010	 101011111101	 [2, 8, 1024]	 [1, 4, 16, 32, 64, 128, 256, 512, 2048]
20:29:57	 128	 2048	 000000010000	 000000000001	 [128]	 [2048]
20:29:57	 3	 2732	 110000000000	 001101010101	 [1, 2]	 [4, 8, 32, 128, 512, 2048]
20:29:57	 35	 2764	 110001000000	 001100110101	 [1, 2, 32]	 [4, 8, 64, 128, 512, 2048]
20:29:57	 257	 2730	 100000001000	 010101010101	 [1, 256]	 [2, 8, 32, 128, 512, 2048]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 32	 591	 000001000000	 1111001001	 [32]	 [1, 2, 4, 8, 64, 512]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 1	 2734	 100000000000	 011101010101	 [1]	 [2, 4, 8, 32, 128, 512, 2048]
20:29:57	 2304	 643	 000000001001	 1100000101	 [256, 2048]	 [1, 2, 128, 512]
20:29:57	 768	 2275	 000000001100	 110001110001	 [256, 512]	 [1, 2, 32, 64, 128, 2048]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 64	 550	 000000100000	 0110010001	 [64]	 [2, 4, 32, 512]
20:29:57	 8	 37	 000100000000	 101001	 [8]	 [1, 4, 32]
20:29:57	 512	 2275	 000000000100	 110001110001	 [512]	 [1, 2, 32, 64, 128, 2048]
20:29:57	 1045	 2218	 101010000010	 010101010001	 [1, 4, 16, 1024]	 [2, 8, 32, 128, 2048]
20:29:57	 576	 2219	 000000100100	 110101010001	 [64, 512]	 [1, 2, 8, 32, 128, 2048]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 256	 2178	 000000001000	 010000010001	 [256]	 [2, 128, 2048]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 64	 550	 000000100000	 0110010001	 [64]	 [2, 4, 32, 512]
20:29:57	 256	 2178	 000000001000	 010000010001	 [256]	 [2, 128, 2048]
20:29:57	 1153	 2622	 100000010010	 011111000101	 [1, 128, 1024]	 [2, 4, 8, 16, 32, 512, 2048]
20:29:57	 2112	 943	 000000100001	 1111010111	 [64, 2048]	 [1, 2, 4, 8, 32, 128, 256, 512]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 147	 3884	 110010010000	 001101001111	 [1, 2, 16, 128]	 [4, 8, 32, 256, 512, 1024, 2048]
20:29:57	 68	 1083	 001000100000	 11011100001	 [4, 64]	 [1, 2, 8, 16, 32, 1024]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 512	 2275	 000000000100	 110001110001	 [512]	 [1, 2, 32, 64, 128, 2048]
20:29:57	 2056	 647	 000100000001	 1110000101	 [8, 2048]	 [1, 2, 4, 128, 512]
20:29:57	 2816	 195	 000000001101	 11000011	 [256, 512, 2048]	 [1, 2, 64, 128]
20:29:57	 512	 2275	 000000000100	 110001110001	 [512]	 [1, 2, 32, 64, 128, 2048]
20:29:57	 0	 0	 000000000000	 0	 []	 []
20:29:57	 2	 3057	 010000000000	 100011111101	 [2]	 [1, 16, 32, 64, 128, 256, 512, 2048]
20:29:57	 1024	 223	 000000000010	 11111011	 [1024]	 [1, 2, 4, 8, 16, 64, 128]
