time, inp, bininp, pre, binpre
20:09:54, 512, 000000000100, 0, 0
20:09:54, 1, 100000000000, 512, 0000000001
20:09:54, 320, 000000101000, 512, 0000000001
20:09:54, 1024, 000000000010, 0, 0
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 2, 010000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 20, 001010000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 16, 000010000000, 1028, 00100000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 34, 010001000000, 1024, 00000000001
20:09:54, 256, 000000001000, 1088, 00000010001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 1, 100000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 1024, 000000000010, 0, 0
20:09:54, 4, 001000000000, 1040, 00001000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 8, 000100000000, 1024, 00000000001
20:09:54, 264, 000100001000, 1088, 00000010001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 65, 100000100000, 1280, 00000000101
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 35, 110001000000, 1088, 00000010001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 0, 000000000000, 1024, 00000000001
20:09:54, 33, 100001000000, 2, 01
20:09:54, 1028, 001000000010, 16, 00001
20:09:54, 0, 000000000000, 0, 0
20:09:54, 0, 000000000000, 0, 0
20:09:54, 257, 100000001000, 98, 0100011
20:09:54, 32, 000001000000, 3, 11
20:09:54, 193, 100000110000, 290, 010001001
20:09:54, 1024, 000000000010, 4, 001
20:09:54, 0, 000000000000, 0, 0
20:09:54, 1, 100000000000, 226, 01000111
20:09:54, 10, 010100000000, 33, 100001
20:09:54, 0, 000000000000, 0, 0
20:09:54, 64, 000000100000, 129, 10000001
20:09:54, 512, 000000000100, 0, 0
20:09:54, 0, 000000000000, 0, 0
20:09:54, 0, 000000000000, 0, 0
20:09:54, 34, 010001000000, 1, 1
20:09:54, 1280, 000000001010, 77, 1011001
20:09:54, 0, 000000000000, 0, 0
20:09:54, 8, 000100000000, 258, 010000001
20:09:54, 2096, 000011000001, 3, 11
20:09:54, 4, 001000000000, 1040, 00001000001
