time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 1	 0	 1000000000	 0	 [1]	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 2	 0	 0100000000	 0	 [2]	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 16	 0	 0000100000	 0	 [5]	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 58	 0	 0101110000	 0	 [2, 4, 5, 6]	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 1	 0	 1000000000	 0	 [1]	 []
21:48:55	 4	 0	 0010000000	 0	 [3]	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 128	 0	 0000000100	 0	 [8]	 []
21:48:55	 256	 0	 0000000010	 0	 [9]	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 256	 0	 0000000010	 0	 [9]	 []
21:48:55	 8	 51	 0001000000	 110011	 [4]	 [1, 2, 5, 6]
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:55	 0	 0	 0000000000	 0	 []	 []
21:48:56	 528	 43	 0000100001	 110101	 [5, 10]	 [1, 2, 4, 6]
21:48:56	 2	 57	 0100000000	 100111	 [2]	 [1, 4, 5, 6]
21:48:56	 0	 0	 0000000000	 0	 []	 []
21:48:56	 0	 0	 0000000000	 0	 []	 []
21:48:56	 0	 0	 0000000000	 0	 []	 []
21:48:56	 128	 0	 0000000100	 0	 [8]	 []
21:48:56	 0	 0	 0000000000	 0	 []	 []
21:48:56	 64	 0	 0000001000	 0	 [7]	 []
21:48:56	 260	 0	 0010000010	 0	 [3, 9]	 []
21:48:56	 0	 0	 0000000000	 0	 []	 []
21:48:56	 512	 17	 0000000001	 10001	 [10]	 [1, 5]
21:48:56	 0	 0	 0000000000	 0	 []	 []
21:48:56	 1	 0	 1000000000	 0	 [1]	 []
21:48:57	 256	 5	 0000000010	 101	 [9]	 [1, 3]
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 256	 5	 0000000010	 101	 [9]	 [1, 3]
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 1	 0	 1000000000	 0	 [1]	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 16	 1	 0000100000	 1	 [5]	 [1]
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 128	 0	 0000000100	 0	 [8]	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 1	 0	 1000000000	 0	 [1]	 []
21:48:57	 544	 17	 0000010001	 10001	 [6, 10]	 [1, 5]
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 64	 0	 0000001000	 0	 [7]	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:57	 0	 0	 0000000000	 0	 []	 []
21:48:58	 40	 19	 0001010000	 11001	 [4, 6]	 [1, 2, 5]
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 16	 1	 0000100000	 1	 [5]	 [1]
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 2	 57	 0100000000	 100111	 [2]	 [1, 4, 5, 6]
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 64	 0	 0000001000	 0	 [7]	 []
21:48:58	 16	 1	 0000100000	 1	 [5]	 [1]
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 513	 48	 1000000001	 000011	 [1, 10]	 [5, 6]
21:48:58	 512	 1	 0000000001	 1	 [10]	 [1]
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:58	 0	 0	 0000000000	 0	 []	 []
21:48:59	 256	 5	 0000000010	 101	 [9]	 [1, 3]
21:48:59	 260	 0	 0010000010	 0	 [3, 9]	 []
21:48:59	 259	 56	 1100000010	 000111	 [1, 2, 9]	 [4, 5, 6]
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 128	 0	 0000000100	 0	 [8]	 []
21:48:59	 514	 1	 0100000001	 1	 [2, 10]	 [1]
21:48:59	 17	 42	 1000100000	 010101	 [1, 5]	 [2, 4, 6]
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 6	 1	 0110000000	 1	 [2, 3]	 [1]
21:48:59	 64	 0	 0000001000	 0	 [7]	 []
21:48:59	 580	 3	 0010001001	 11	 [3, 7, 10]	 [1, 2]
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 2	 1	 0100000000	 1	 [2]	 [1]
21:48:59	 0	 0	 0000000000	 0	 []	 []
21:48:59	 32	 1	 0000010000	 1	 [6]	 [1]
21:49:00	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:00	 33	 26	 1000010000	 01011	 [1, 6]	 [2, 4, 5]
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 128	 0	 0000000100	 0	 [8]	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 258	 1	 0100000010	 1	 [2, 9]	 [1]
21:49:00	 8	 51	 0001000000	 110011	 [4]	 [1, 2, 5, 6]
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:00	 0	 0	 0000000000	 0	 []	 []
21:49:01	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 16	 3	 0000100000	 11	 [5]	 [1, 2]
21:49:01	 16	 3	 0000100000	 11	 [5]	 [1, 2]
21:49:01	 256	 7	 0000000010	 111	 [9]	 [1, 2, 3]
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 64	 517	 0000001000	 1010000001	 [7]	 [1, 3, 10]
21:49:01	 1	 2	 1000000000	 01	 [1]	 [2]
21:49:01	 520	 1	 0001000001	 1	 [4, 10]	 [1]
21:49:01	 0	 0	 0000000000	 0	 []	 []
21:49:01	 2	 1	 0100000000	 1	 [2]	 [1]
21:49:02	 256	 7	 0000000010	 111	 [9]	 [1, 2, 3]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 2	 1	 0100000000	 1	 [2]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 8	 1	 0001000000	 1	 [4]	 [1]
21:49:02	 65	 518	 1000001000	 0110000001	 [1, 7]	 [2, 3, 10]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 80	 3	 0000101000	 11	 [5, 7]	 [1, 2]
21:49:02	 2	 1	 0100000000	 1	 [2]	 [1]
21:49:02	 19	 40	 1100100000	 000101	 [1, 2, 5]	 [4, 6]
21:49:02	 64	 1	 0000001000	 1	 [7]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 16	 3	 0000100000	 11	 [5]	 [1, 2]
21:49:02	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 1	 6	 1000000000	 011	 [1]	 [2, 3]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 64	 1	 0000001000	 1	 [7]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 1	 6	 1000000000	 011	 [1]	 [2, 3]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:02	 8	 1	 0001000000	 1	 [4]	 [1]
21:49:02	 0	 0	 0000000000	 0	 []	 []
21:49:03	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 24	 3	 0001100000	 11	 [4, 5]	 [1, 2]
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 3	 56	 1100000000	 000111	 [1, 2]	 [4, 5, 6]
21:49:03	 1	 6	 1000000000	 011	 [1]	 [2, 3]
21:49:03	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 64	 1	 0000001000	 1	 [7]	 [1]
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 32	 3	 0000010000	 11	 [6]	 [1, 2]
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 64	 1	 0000001000	 1	 [7]	 [1]
21:49:03	 256	 7	 0000000010	 111	 [9]	 [1, 2, 3]
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:03	 0	 0	 0000000000	 0	 []	 []
21:49:04	 514	 1	 0100000001	 1	 [2, 10]	 [1]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 396	 3	 0011000110	 11	 [3, 4, 8, 9]	 [1, 2]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 8	 1	 0001000000	 1	 [4]	 [1]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:04	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 32	 3	 0000010000	 11	 [6]	 [1, 2]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:04	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:04	 0	 0	 0000000000	 0	 []	 []
21:49:05	 516	 1	 0010000001	 1	 [3, 10]	 [1]
21:49:05	 32	 3	 0000010000	 11	 [6]	 [1, 2]
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 2	 1	 0100000000	 1	 [2]	 [1]
21:49:05	 128	 269	 0000000100	 101100001	 [8]	 [1, 3, 4, 9]
21:49:05	 64	 1	 0000001000	 1	 [7]	 [1]
21:49:05	 8	 1	 0001000000	 1	 [4]	 [1]
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 2	 1	 0100000000	 1	 [2]	 [1]
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 152	 1	 0001100100	 1	 [4, 5, 8]	 [1]
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 320	 5	 0000001010	 101	 [7, 9]	 [1, 3]
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 0	 0	 0000000000	 0	 []	 []
21:49:05	 1	 6	 1000000000	 011	 [1]	 [2, 3]
21:49:06	 64	 1	 0000001000	 1	 [7]	 [1]
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 16	 1	 0000100000	 1	 [5]	 [1]
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 514	 1	 0100000001	 1	 [2, 10]	 [1]
21:49:06	 8	 1	 0001000000	 1	 [4]	 [1]
21:49:06	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 2	 1	 0100000000	 1	 [2]	 [1]
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 0	 0	 0000000000	 0	 []	 []
21:49:06	 512	 1	 0000000001	 1	 [10]	 [1]
21:49:06	 4	 1	 0010000000	 1	 [3]	 [1]
21:49:06	 80	 1	 0000101000	 1	 [5, 7]	 [1]
21:49:07	 128	 9	 0000000100	 1001	 [8]	 [1, 4]
21:49:07	 16	 1	 0000100000	 1	 [5]	 [1]
21:49:07	 128	 9	 0000000100	 1001	 [8]	 [1, 4]
21:49:07	 0	 0	 0000000000	 0	 []	 []
21:49:07	 0	 0	 0000000000	 0	 []	 []
21:49:07	 0	 0	 0000000000	 0	 []	 []
21:49:07	 0	 0	 0000000000	 0	 []	 []
21:49:07	 640	 1	 0000000101	 1	 [8, 10]	 [1]
