time	 inp	 bininp	 pre	 binpre	 lstinp	 lstpre
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 1024	 0	 000000000010	 0	 [1024]	 []
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 32	 1024	 000001000000	 00000000001	 [32]	 [1024]
20:19:39	 68	 1024	 001000100000	 00000000001	 [4, 64]	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 512	 1024	 000000000100	 00000000001	 [512]	 [1024]
20:19:39	 512	 1024	 000000000100	 00000000001	 [512]	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 16	 1024	 000010000000	 00000000001	 [16]	 [1024]
20:19:39	 32	 1024	 000001000000	 00000000001	 [32]	 [1024]
20:19:39	 1024	 0	 000000000010	 0	 [1024]	 []
20:19:39	 128	 1024	 000000010000	 00000000001	 [128]	 [1024]
20:19:39	 768	 1024	 000000001100	 00000000001	 [256, 512]	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 144	 1024	 000010010000	 00000000001	 [16, 128]	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 512	 1280	 000000000100	 00000000101	 [512]	 [256, 1024]
20:19:39	 4	 1088	 001000000000	 00000010001	 [4]	 [64, 1024]
20:19:39	 512	 1280	 000000000100	 00000000101	 [512]	 [256, 1024]
20:19:39	 16	 1152	 000010000000	 00000001001	 [16]	 [128, 1024]
20:19:39	 128	 1040	 000000010000	 00001000001	 [128]	 [16, 1024]
20:19:39	 514	 1280	 010000000100	 00000000101	 [2, 512]	 [256, 1024]
20:19:39	 261	 1600	 101000001000	 00000010011	 [1, 4, 256]	 [64, 512, 1024]
20:19:39	 512	 1282	 000000000100	 01000000101	 [512]	 [2, 256, 1024]
20:19:39	 32	 1024	 000001000000	 00000000001	 [32]	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 0	 1024	 000000000000	 00000000001	 []	 [1024]
20:19:39	 512	 1282	 000000000100	 01000000101	 [512]	 [2, 256, 1024]
20:19:39	 8	 1024	 000100000000	 00000000001	 [8]	 [1024]
20:19:39	 16	 1152	 000010000000	 00000001001	 [16]	 [128, 1024]
20:19:39	 1056	 0	 000001000010	 0	 [32, 1024]	 []
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 64	 4	 000000100000	 001	 [64]	 [4]
20:19:39	 32	 1024	 000001000000	 00000000001	 [32]	 [1024]
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 128	 16	 000000010000	 00001	 [128]	 [16]
20:19:39	 0	 0	 000000000000	 0	 []	 []
20:19:39	 2048	 0	 000000000001	 0	 [2048]	 []
20:19:39	 513	 260	 100000000100	 001000001	 [1, 512]	 [4, 256]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:19:39	 1024	 2080	 000000000010	 000001000001	 [1024]	 [32, 2048]
20:19:39	 1040	 2208	 000010000010	 000001010001	 [16, 1024]	 [32, 128, 2048]
20:19:39	 128	 2064	 000000010000	 000010000001	 [128]	 [16, 2048]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:19:39	 129	 260	 100000010000	 001000001	 [1, 128]	 [4, 256]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:19:39	 1	 260	 100000000000	 001000001	 [1]	 [4, 256]
20:19:39	 68	 257	 001000100000	 100000001	 [4, 64]	 [1, 256]
20:19:39	 1048	 2208	 000110000010	 000001010001	 [8, 16, 1024]	 [32, 128, 2048]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:19:39	 0	 2048	 000000000000	 000000000001	 []	 [2048]
