time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
11:43:50	 128	 0	 0000000100	 0	 [8]	 []	 []
11:43:50	 0	 0	 0000000000	 0	 []	 []	 []
11:43:50	 0	 0	 0000000000	 0	 []	 []	 []
11:43:50	 8	 0	 0001000000	 0	 [4]	 []	 []
11:43:50	 1	 0	 1000000000	 0	 [1]	 []	 []
11:43:50	 576	 0	 0000001001	 0	 [7, 10]	 []	 []
11:43:50	 64	 512	 0000001000	 0000000001	 [7]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:50	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:50	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:50	 513	 64	 1000000001	 0000001	 [1, 10]	 [7]	 [0, 0, 0, 0, 0, 0, 1]
11:43:50	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 1]
11:43:50	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 1]
11:43:51	 512	 65	 0000000001	 1000001	 [10]	 [1, 7]	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 16	 0	 0000100000	 0	 [5]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 512	 65	 0000000001	 1000001	 [10]	 [1, 7]	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 176	 0	 0000110100	 0	 [5, 6, 8]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 256	 0	 0000000010	 0	 [9]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 4	 0	 0010000000	 0	 [3]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 8	 0	 0001000000	 0	 [4]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 2	 0	 0100000000	 0	 [2]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 64	 512	 0000001000	 0000000001	 [7]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:51	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:51	 512	 65	 0000000001	 1000001	 [10]	 [1, 7]	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 512	 65	 0000000001	 1000001	 [10]	 [1, 7]	 [1, 0, 0, 0, 0, 0, 1]
11:43:51	 4	 0	 0010000000	 0	 [3]	 []	 [1, 0, 0, 0, 0, 0, 1]
11:43:52	 16	 160	 0000100000	 00000101	 [5]	 [6, 8]	 [0, 0, 0, 0, 0, 2, 0, 2]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 2, 0, 2]
11:43:52	 1	 512	 1000000000	 0000000001	 [1]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 8	 0	 0001000000	 0	 [4]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 64	 512	 0000001000	 0000000001	 [7]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 256	 0	 0000000010	 0	 [9]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 4	 0	 0010000000	 0	 [3]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
11:43:52	 144	 32	 0000100100	 000001	 [5, 8]	 [6]	 [0, 0, 0, 0, 0, 3]
11:43:52	 2	 0	 0100000000	 0	 [2]	 []	 [0, 0, 0, 0, 0, 3]
11:43:52	 40	 144	 0001010000	 00001001	 [4, 6]	 [5, 8]	 [0, 0, 0, 0, 2, 0, 0, 2]
11:43:52	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 2]
