time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 1	 0	 1000000000	 0	 [1]	 []	 []
10:57:34	 256	 0	 0000000010	 0	 [9]	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 256	 0	 0000000010	 0	 [9]	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 256	 0	 0000000010	 0	 [9]	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 32	 0	 0000010000	 0	 [6]	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 276	 0	 0010100010	 0	 [3, 5, 9]	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 128	 0	 0000000100	 0	 [8]	 []	 []
10:57:34	 0	 0	 0000000000	 0	 []	 []	 []
10:57:34	 384	 20	 0000000110	 00101	 [8, 9]	 [3, 5]	 [0, 0, 2, 0, 2]
10:57:35	 64	 0	 0000001000	 0	 [7]	 []	 [0, 0, 2, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 2]
10:57:35	 32	 0	 0000010000	 0	 [6]	 []	 [0, 0, 2, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 2]
10:57:35	 32	 0	 0000010000	 0	 [6]	 []	 [0, 0, 2, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 2]
10:57:35	 16	 260	 0000100000	 001000001	 [5]	 [3, 9]	 [0, 0, 2, 0, 0, 0, 0, 0, 2]
10:57:35	 32	 0	 0000010000	 0	 [6]	 []	 [0, 0, 2, 0, 0, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 0, 0, 0, 0, 2]
10:57:35	 4	 272	 0010000000	 000010001	 [3]	 [5, 9]	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 0, 0, 0, 2]
10:57:35	 128	 256	 0000000100	 000000001	 [8]	 [9]	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 256	 20	 0000000010	 00101	 [9]	 [3, 5]	 [0, 0, 2, 0, 2, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 2, 0, 0, 1]
10:57:35	 128	 256	 0000000100	 000000001	 [8]	 [9]	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 64	 0	 0000001000	 0	 [7]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 33	 0	 1000010000	 0	 [1, 6]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 2	 0	 0100000000	 0	 [2]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 576	 0	 0000001001	 0	 [7, 10]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 64	 512	 0000001000	 0000000001	 [7]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
10:57:35	 261	 16	 1010000010	 00001	 [1, 3, 9]	 [5]	 [0, 0, 0, 0, 3, 1, 0, 1]
10:57:35	 256	 21	 0000000010	 10101	 [9]	 [1, 3, 5]	 [2, 0, 3, 0, 2, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [2, 0, 3, 0, 2, 0, 0, 1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [2, 0, 3, 0, 2, 0, 0, 1]
10:57:35	 32	 1	 0000010000	 1	 [6]	 [1]	 [1]
10:57:35	 0	 0	 0000000000	 0	 []	 []	 [1]
