time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 16	 0	 0000100000	 0	 [5]	 []	 []
14:28:10	 64	 0	 0000001000	 0	 [7]	 []	 []
14:28:10	 256	 0	 0000000010	 0	 [9]	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 8	 0	 0001000000	 0	 [4]	 []	 []
14:28:10	 2	 0	 0100000000	 0	 [2]	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 32	 0	 0000010000	 0	 [6]	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 40	 0	 0001010000	 0	 [4, 6]	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 4	 0	 0010000000	 0	 [3]	 []	 []
14:28:10	 260	 0	 0010000010	 0	 [3, 9]	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 0	 0	 0000000000	 0	 []	 []	 []
14:28:10	 36	 264	 0010010000	 000100001	 [3, 6]	 [4, 9]	 [0, 0, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 16	 0	 0000100000	 0	 [5]	 []	 [0, 0, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 16	 0	 0000100000	 0	 [5]	 []	 [0, 0, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 256	 4	 0000000010	 001	 [9]	 [3]	 [0, 0, 1]
14:28:10	 513	 0	 1000000001	 0	 [1, 10]	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 64	 0	 0000001000	 0	 [7]	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 5	 800	 1010000000	 0000010011	 [1, 3]	 [6, 9, 10]	 [0, 0, 0, 0, 0, 1, 0, 0, 1, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 1, 0, 0, 1, 1]
14:28:10	 64	 0	 0000001000	 0	 [7]	 []	 [0, 0, 0, 0, 0, 1, 0, 0, 1, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 1, 0, 0, 1, 1]
14:28:10	 20	 289	 0010100000	 100001001	 [3, 5]	 [1, 6, 9]	 [1, 0, 0, 0, 0, 1, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 1, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 1, 0, 0, 1]
14:28:10	 512	 1	 0000000001	 1	 [10]	 [1]	 [1]
14:28:10	 16	 4	 0000100000	 001	 [5]	 [3]	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:10	 1	 516	 1000000000	 0010000001	 [1]	 [3, 10]	 [0, 0, 1, 0, 0, 0, 0, 0, 0, 1]
14:28:10	 17	 4	 1000100000	 001	 [1, 5]	 [3]	 [0, 0, 2, 0, 0, 0, 0, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 0, 0, 0, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 2, 0, 0, 0, 0, 0, 0, 1]
14:28:10	 8	 32	 0001000000	 000001	 [4]	 [6]	 [0, 0, 0, 0, 0, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 1]
14:28:10	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:10	 8	 32	 0001000000	 000001	 [4]	 [6]	 [0, 0, 0, 0, 0, 1]
14:28:10	 2	 0	 0100000000	 0	 [2]	 []	 [0, 0, 0, 0, 0, 1]
14:28:10	 24	 37	 0001100000	 101001	 [4, 5]	 [1, 3, 6]	 [1, 0, 1, 0, 0, 1]
14:28:10	 8	 48	 0001000000	 000011	 [4]	 [5, 6]	 [0, 0, 0, 0, 1, 1]
14:28:10	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 0, 1, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 1]
14:28:10	 8	 48	 0001000000	 000011	 [4]	 [5, 6]	 [0, 0, 0, 0, 1, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 1]
14:28:10	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 1]
14:28:11	 260	 49	 0010000010	 100011	 [3, 9]	 [1, 5, 6]	 [1, 0, 0, 0, 1, 1]
14:28:11	 66	 0	 0100001000	 0	 [2, 7]	 []	 [1, 0, 0, 0, 1, 1]
14:28:11	 8	 48	 0001000000	 000011	 [4]	 [5, 6]	 [0, 0, 0, 0, 1, 1]
14:28:11	 18	 77	 0100100000	 1011001	 [2, 5]	 [1, 3, 4, 7]	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 1, 1, 0, 0, 1]
14:28:11	 2	 80	 0100000000	 0000101	 [2]	 [5, 7]	 [0, 0, 0, 0, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 0, 1]
14:28:11	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:11	 16	 15	 0000100000	 1111	 [5]	 [1, 2, 3, 4]	 [1, 1, 1, 1]
14:28:11	 4	 305	 0010000000	 100011001	 [3]	 [1, 5, 6, 9]	 [1, 0, 0, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 0, 0, 1]
14:28:11	 64	 2	 0000001000	 01	 [7]	 [2]	 [0, 1]
14:28:11	 128	 0	 0000000100	 0	 [8]	 []	 [0, 1]
14:28:11	 32	 12	 0000010000	 0011	 [6]	 [3, 4]	 [0, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1]
14:28:11	 68	 307	 0010001000	 110011001	 [3, 7]	 [1, 2, 5, 6, 9]	 [1, 1, 0, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 1, 0, 0, 1, 1, 0, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 1, 0, 0, 1, 1, 0, 0, 1]
14:28:11	 2	 80	 0100000000	 0000101	 [2]	 [5, 7]	 [0, 0, 0, 0, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 1, 0, 1]
14:28:11	 72	 54	 0001001000	 011011	 [4, 7]	 [2, 3, 5, 6]	 [0, 1, 1, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 0, 1, 1]
14:28:11	 64	 14	 0000001000	 0111	 [7]	 [2, 3, 4]	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 32	 12	 0000010000	 0011	 [6]	 [3, 4]	 [0, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1]
14:28:11	 4	 369	 0010000000	 100011101	 [3]	 [1, 5, 6, 7, 9]	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:11	 64	 14	 0000001000	 0111	 [7]	 [2, 3, 4]	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 2	 80	 0100000000	 0000101	 [2]	 [5, 7]	 [0, 0, 0, 0, 1, 0, 1]
14:28:11	 4	 369	 0010000000	 100011101	 [3]	 [1, 5, 6, 7, 9]	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:11	 5	 16	 1010000000	 00001	 [1, 3]	 [5]	 [0, 0, 0, 0, 2, 1, 1, 0, 1, 1]
14:28:11	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 0, 2, 1, 1, 0, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 2, 1, 1, 0, 1, 1]
14:28:11	 64	 14	 0000001000	 0111	 [7]	 [2, 3, 4]	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:11	 512	 1	 0000000001	 1	 [10]	 [1]	 [1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [1]
14:28:11	 16	 15	 0000100000	 1111	 [5]	 [1, 2, 3, 4]	 [1, 1, 1, 1]
14:28:11	 34	 92	 0100010000	 0011101	 [2, 6]	 [3, 4, 5, 7]	 [0, 0, 1, 1, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1, 1, 0, 1]
14:28:11	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 1, 1, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1, 1, 0, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 1, 1, 0, 1]
14:28:11	 10	 112	 0101000000	 0000111	 [2, 4]	 [5, 6, 7]	 [0, 0, 0, 0, 2, 2, 2]
14:28:11	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:11	 32	 14	 0000010000	 0111	 [6]	 [2, 3, 4]	 [0, 1, 1, 1]
14:28:11	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1]
14:28:12	 512	 1	 0000000001	 1	 [10]	 [1]	 [1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1]
14:28:12	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:12	 96	 14	 0000011000	 0111	 [6, 7]	 [2, 3, 4]	 [0, 2, 2, 2]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 2, 2, 2]
14:28:12	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:12	 32	 78	 0000010000	 0111001	 [6]	 [2, 3, 4, 7]	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 16	 15	 0000100000	 1111	 [5]	 [1, 2, 3, 4]	 [1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 1, 1, 1]
14:28:12	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:12	 4	 369	 0010000000	 100011101	 [3]	 [1, 5, 6, 7, 9]	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 8	 114	 0001000000	 0100111	 [4]	 [2, 5, 6, 7]	 [0, 1, 0, 0, 1, 1, 1]
14:28:12	 32	 78	 0000010000	 0111001	 [6]	 [2, 3, 4, 7]	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 66	 40	 0100001000	 000101	 [2, 7]	 [4, 6]	 [0, 0, 1, 2, 1, 2]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 2, 1, 2]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 2, 1, 2]
14:28:12	 8	 114	 0001000000	 0100111	 [4]	 [2, 5, 6, 7]	 [0, 1, 0, 0, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 0, 0, 1, 1, 1]
14:28:12	 16	 15	 0000100000	 1111	 [5]	 [1, 2, 3, 4]	 [1, 1, 1, 1]
14:28:12	 2	 120	 0100000000	 0001111	 [2]	 [4, 5, 6, 7]	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 2	 120	 0100000000	 0001111	 [2]	 [4, 5, 6, 7]	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 2	 120	 0100000000	 0001111	 [2]	 [4, 5, 6, 7]	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 34	 72	 0100010000	 0001001	 [2, 6]	 [4, 7]	 [0, 0, 1, 2, 1, 0, 2]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 2, 1, 0, 2]
14:28:12	 64	 46	 0000001000	 011101	 [7]	 [2, 3, 4, 6]	 [0, 1, 1, 1, 0, 1]
14:28:12	 512	 1	 0000000001	 1	 [10]	 [1]	 [1]
14:28:12	 16	 15	 0000100000	 1111	 [5]	 [1, 2, 3, 4]	 [1, 1, 1, 1]
14:28:12	 32	 78	 0000010000	 0111001	 [6]	 [2, 3, 4, 7]	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 2	 120	 0100000000	 0001111	 [2]	 [4, 5, 6, 7]	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 4	 369	 0010000000	 100011101	 [3]	 [1, 5, 6, 7, 9]	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:12	 32	 78	 0000010000	 0111001	 [6]	 [2, 3, 4, 7]	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 128	 0	 0000000100	 0	 [8]	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 128	 0	 0000000100	 0	 [8]	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 1, 1, 1, 0, 0, 1]
14:28:12	 256	 4	 0000000010	 001	 [9]	 [3]	 [0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:12	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:12	 2	 120	 0100000000	 0001111	 [2]	 [4, 5, 6, 7]	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:12	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 512	 1	 0000000001	 1	 [10]	 [1]	 [1]
14:28:13	 516	 1	 0010000001	 1	 [3, 10]	 [1]	 [2, 0, 0, 0, 1, 1, 1, 0, 1]
14:28:13	 16	 15	 0000100000	 1111	 [5]	 [1, 2, 3, 4]	 [1, 1, 1, 1]
14:28:13	 1	 532	 1000000000	 0010100001	 [1]	 [3, 5, 10]	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
14:28:13	 2	 120	 0100000000	 0001111	 [2]	 [4, 5, 6, 7]	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 1, 1, 1, 1]
14:28:13	 256	 4	 0000000010	 001	 [9]	 [3]	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 256	 4	 0000000010	 001	 [9]	 [3]	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
14:28:13	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 1]
