time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre
20:40:02	 1280	 0	 000000001010	 0	 [8, 10]	 []
20:40:02	 48	 0	 000011000000	 0	 [4, 5]	 []
20:40:02	 1024	 256	 000000000010	 000000001	 [10]	 [8]
20:40:02	 512	 0	 000000000100	 0	 [9]	 []
20:40:02	 32	 16	 000001000000	 00001	 [5]	 [4]
20:40:02	 16	 32	 000010000000	 000001	 [4]	 [5]
20:40:02	 1056	 272	 000001000010	 000010001	 [5, 10]	 [4, 8]
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 512	 0	 000000000100	 0	 [9]	 []
20:40:02	 4	 0	 001000000000	 0	 [2]	 []
20:40:02	 522	 0	 010100000100	 0	 [1, 3, 9]	 []
20:40:02	 104	 514	 000101100000	 0100000001	 [3, 5, 6]	 [1, 9]
20:40:02	 32	 72	 000001000000	 0001001	 [5]	 [3, 6]
20:40:02	 512	 10	 000000000100	 0101	 [9]	 [1, 3]
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 32	 72	 000001000000	 0001001	 [5]	 [3, 6]
20:40:02	 512	 10	 000000000100	 0101	 [9]	 [1, 3]
20:40:02	 1408	 32	 000000011010	 000001	 [7, 8, 10]	 [5]
20:40:02	 1	 0	 100000000000	 0	 [0]	 []
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 2048	 0	 000000000001	 0	 [11]	 []
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 544	 8	 000001000100	 0001	 [5, 9]	 [3]
20:40:02	 2080	 72	 000001000001	 0001001	 [5, 11]	 [3, 6]
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 0	 0	 000000000000	 0	 []	 []
20:40:02	 265	 1762	 100100001000	 01000111011	 [0, 3, 8]	 [1, 5, 6, 7, 9, 10]
20:40:02	 1	 264	 100000000000	 000100001	 [0]	 [3, 8]
20:40:02	 260	 1161	 001000001000	 10010001001	 [2, 8]	 [0, 3, 7, 10]
20:40:02	 4	 256	 001000000000	 000000001	 [2]	 [8]
20:40:02	 1024	 384	 000000000010	 000000011	 [10]	 [7, 8]
20:40:02	 1024	 384	 000000000010	 000000011	 [10]	 [7, 8]
