time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre
20:55:06	 8	 0	 00010000000000	 0	 [3]	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 4097	 0	 10000000000010	 0	 [0, 12]	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 4096	 1	 00000000000010	 1	 [12]	 [0]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 2	 0	 01000000000000	 0	 [1]	 []
20:55:06	 2304	 0	 00000000100100	 0	 [8, 11]	 []
20:55:06	 4	 0	 00100000000000	 0	 [2]	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 64	 0	 00000010000000	 0	 [6]	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 1	 4096	 10000000000000	 0000000000001	 [0]	 [12]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 1152	 0	 00000001001000	 0	 [7, 10]	 []
20:55:06	 4096	 1	 00000000000010	 1	 [12]	 [0]
20:55:06	 32	 0	 00000100000000	 0	 [5]	 []
20:55:06	 2048	 256	 00000000000100	 000000001	 [11]	 [8]
20:55:06	 1024	 128	 00000000001000	 00000001	 [10]	 [7]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 48	 0	 00001100000000	 0	 [4, 5]	 []
20:55:06	 64	 0	 00000010000000	 0	 [6]	 []
20:55:06	 640	 1024	 00000001010000	 00000000001	 [7, 9]	 [10]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 1024	 128	 00000000001000	 00000001	 [10]	 [7]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 24	 32	 00011000000000	 000001	 [3, 4]	 [5]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 8	 16	 00010000000000	 00001	 [3]	 [4]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 2048	 256	 00000000000100	 000000001	 [11]	 [8]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 28	 32	 00111000000000	 000001	 [2, 3, 4]	 [5]
20:55:06	 32	 16	 00000100000000	 00001	 [5]	 [4]
20:55:06	 4	 24	 00100000000000	 00011	 [2]	 [3, 4]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 1152	 512	 00000001001000	 0000000001	 [7, 10]	 [9]
20:55:06	 1024	 128	 00000000001000	 00000001	 [10]	 [7]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 8	 20	 00010000000000	 00101	 [3]	 [2, 4]
20:55:06	 3072	 384	 00000000001100	 000000011	 [10, 11]	 [7, 8]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 4168	 20	 00010010000010	 00101	 [3, 6, 12]	 [2, 4]
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:06	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 1	 4096	 10000000000000	 0000000000001	 [0]	 [12]
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 128	 1536	 00000001000000	 00000000011	 [7]	 [9, 10]
20:55:07	 4	 24	 00100000000000	 00011	 [2]	 [3, 4]
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 4	 24	 00100000000000	 00011	 [2]	 [3, 4]
20:55:07	 1	 4096	 10000000000000	 0000000000001	 [0]	 [12]
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 256	 2048	 00000000100000	 000000000001	 [8]	 [11]
20:55:07	 8192	 0	 00000000000001	 0	 [13]	 []
20:55:07	 2	 8192	 01000000000000	 00000000000001	 [1]	 [13]
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 8192	 0	 00000000000001	 0	 [13]	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 128	 9728	 00000001000000	 00000000011001	 [7]	 [9, 10, 13]
20:55:07	 9	 4180	 10010000000000	 0010101000001	 [0, 3]	 [2, 4, 6, 12]
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 4	 24	 00100000000000	 00011	 [2]	 [3, 4]
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:07	 0	 0	 00000000000000	 0	 []	 []
20:55:08	 32	 8208	 00000100000000	 00001000000001	 [5]	 [4, 13]
20:55:08	 8	 4180	 00010000000000	 0010101000001	 [3]	 [2, 4, 6, 12]
20:55:08	 8192	 0	 00000000000001	 0	 [13]	 []
20:55:08	 0	 0	 00000000000000	 0	 []	 []
20:55:08	 4104	 85	 00010000000010	 1010101	 [3, 12]	 [0, 2, 4, 6]
20:55:08	 8192	 0	 00000000000001	 0	 [13]	 []
20:55:08	 2	 8192	 01000000000000	 00000000000001	 [1]	 [13]
20:55:08	 0	 0	 00000000000000	 0	 []	 []
20:55:08	 640	 9216	 00000001010000	 00000000001001	 [7, 9]	 [10, 13]
20:55:08	 0	 0	 00000000000000	 0	 []	 []
20:55:08	 0	 0	 00000000000000	 0	 []	 []
20:55:08	 0	 0	 00000000000000	 0	 []	 []
20:55:08	 2560	 384	 00000000010100	 000000011	 [9, 11]	 [7, 8]
20:55:08	 8192	 0	 00000000000001	 0	 [13]	 []
20:55:09	 2	 8192	 01000000000000	 00000000000001	 [1]	 [13]
