time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
07:47:28	 64	 0	 0000001000	 0	 [7]	 []	 []
07:47:28	 128	 0	 0000000100	 0	 [8]	 []	 []
07:47:28	 0	 0	 0000000000	 0	 []	 []	 []
07:47:28	 512	 0	 0000000001	 0	 [10]	 []	 []
07:47:28	 0	 0	 0000000000	 0	 []	 []	 []
07:47:28	 0	 0	 0000000000	 0	 []	 []	 []
07:47:28	 32	 0	 0000010000	 0	 [6]	 []	 []
07:47:28	 8	 0	 0001000000	 0	 [4]	 []	 []
07:47:28	 2	 0	 0100000000	 0	 [2]	 []	 []
07:47:28	 0	 0	 0000000000	 0	 []	 []	 []
07:47:28	 0	 0	 0000000000	 0	 []	 []	 []
07:47:28	 320	 0	 0000001010	 0	 [7, 9]	 []	 []
07:47:28	 4	 0	 0010000000	 0	 [3]	 []	 []
07:47:28	 8	 0	 0001000000	 0	 [4]	 []	 []
07:47:28	 193	 256	 1000001100	 000000001	 [1, 7, 8]	 [9]	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
07:47:28	 417	 64	 1000010110	 0000001	 [1, 6, 8, 9]	 [7]	 [0, 0, 0, 0, 0, 0, 4]
07:47:28	 18	 0	 0100100000	 0	 [2, 5]	 []	 [0, 0, 0, 0, 0, 0, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 4]
07:47:28	 256	 161	 0000000010	 10000101	 [9]	 [1, 6, 8]	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 256	 161	 0000000010	 10000101	 [9]	 [1, 6, 8]	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 512	 0	 0000000001	 0	 [10]	 []	 [4, 0, 0, 0, 0, 4, 1, 4]
07:47:28	 1	 416	 1000000000	 000001011	 [1]	 [6, 8, 9]	 [0, 0, 0, 0, 0, 4, 2, 5, 4]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 4, 2, 5, 4]
07:47:28	 512	 0	 0000000001	 0	 [10]	 []	 [0, 0, 0, 0, 0, 4, 2, 5, 4]
07:47:28	 64	 129	 0000001000	 10000001	 [7]	 [1, 8]	 [2, 0, 0, 0, 0, 0, 0, 2, 1]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [2, 0, 0, 0, 0, 0, 0, 2, 1]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [2, 0, 0, 0, 0, 0, 0, 2, 1]
07:47:28	 4	 0	 0010000000	 0	 [3]	 []	 [2, 0, 0, 0, 0, 0, 0, 2, 1]
07:47:28	 0	 0	 0000000000	 0	 []	 []	 [2, 0, 0, 0, 0, 0, 0, 2, 1]
