time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
22:03:23	 0	 0	 000000000000	 0	 []	 []	 []
22:03:23	 0	 0	 000000000000	 0	 []	 []	 []
22:03:23	 2560	 0	 000000000101	 0	 [10, 12]	 []	 []
22:03:27	 1280	 0	 000000001010	 0	 [9, 11]	 []	 []
22:03:27	 0	 0	 000000000000	 0	 []	 []	 []
22:03:27	 0	 0	 000000000000	 0	 []	 []	 []
22:03:27	 0	 0	 000000000000	 0	 []	 []	 []
22:03:29	 512	 2049	 000000000100	 100000000001	 [10]	 [1, 12]	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 2	 0	 010000000000	 0	 [2]	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 1	 0	 100000000000	 0	 [1]	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:29	 288	 1025	 000001001000	 10000000001	 [6, 9]	 [1, 11]	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:30	 16	 0	 000010000000	 0	 [5]	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:30	 128	 0	 000000010000	 0	 [8]	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:30	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:33	 1040	 257	 000010000010	 100000001	 [5, 11]	 [1, 9]	 [1, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:35	 512	 2049	 000000000100	 100000000001	 [10]	 [1, 12]	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:35	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:35	 0	 0	 000000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:35	 33	 256	 100001000000	 000000001	 [1, 6]	 [9]	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:35	 8	 0	 000100000000	 0	 [4]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:39	 2114	 513	 010000100001	 1000000001	 [2, 7, 12]	 [1, 10]	 [1, 0, 0, 0, 0, 0, 0, 0, 0, 1]
22:03:40	 64	 2051	 000000100000	 110000000001	 [7]	 [1, 2, 12]	 [3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]
22:03:40	 0	 0	 000000000000	 0	 []	 []	 [3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]
22:03:40	 160	 259	 000001010000	 110000001	 [6, 8]	 [1, 2, 9]	 [1, 1, 0, 0, 0, 0, 0, 0, 1]
