,P20865_126_S107_L004,P20865_122_S103_L004,P20865_114_S95_L004,P20865_113_S94_L004,P20865_105_S86_L004,P20865_102_S83_L004,P20865_120_S101_L004,P20865_135_S116_L004,P20865_139_S120_L004,P20865_131_S112_L004,P20865_112_S93_L004,P20865_134_S115_L004,P20865_144_S125_L004,P20865_111_S92_L004,P20865_171_S152_L004,P20865_141_S122_L004,P20865_130_S111_L004,P20865_151_S132_L004,P20865_153_S134_L004,P20865_132_S113_L004,P20865_110_S91_L004,P20865_115_S96_L004,P20865_125_S106_L004,P20865_109_S90_L004,P20865_160_S141_L004,P20865_155_S136_L004,P20865_107_S88_L004,P20865_161_S142_L004,P20865_129_S110_L004,P20865_119_S100_L004,P20865_168_S149_L004,P20865_158_S139_L004,P20865_149_S130_L004,P20865_121_S102_L004,P20865_127_S108_L004,P20865_146_S127_L004,P20865_166_S147_L004,P20865_123_S104_L004,P20865_170_S151_L004,P20865_169_S150_L004,P20865_142_S123_L004,P20865_162_S143_L004,P20865_133_S114_L004,P20865_163_S144_L004,P20865_145_S126_L004,P20865_165_S146_L004,P20865_154_S135_L004,P20865_101_S82_L004,P20865_103_S84_L004,P20865_108_S89_L004,P20865_143_S124_L004,P20865_136_S117_L004,P20865_150_S131_L004,P20865_128_S109_L004,P20865_152_S133_L004,P20865_106_S87_L004,P20865_164_S145_L004,P20865_138_S119_L004,P20865_159_S140_L004,P20865_156_S137_L004,P20865_157_S138_L004,P20865_147_S128_L004,P20865_137_S118_L004,P20865_104_S85_L004,P20865_116_S97_L004,P20865_140_S121_L004,P20865_118_S99_L004,P20865_124_S105_L004,P20865_117_S98_L004,P20865_167_S148_L004,P20865_148_S129_L004
msp_0001,0,7.69378457810311e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26684424145242e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44935739128715e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0003,0,0,0,0,0,0,0,0,0,7.51441271551019e-06,1.98485293698731e-06,1.45776352964167e-05,0,7.72150111130663e-07,2.78098042726133e-06,3.73371371017638e-06,1.28854920625919e-05,1.9722700915746e-07,0,9.46310584113164e-06,0,6.87821081664136e-07,0,0,3.18121746980307e-06,2.9727263395311e-07,0,0,1.27688746156319e-06,1.51412851911878e-06,0,0,1.44963910602436e-06,2.92927677973129e-06,0,3.26507069001548e-07,0,0,3.35505555631799e-06,5.80637999967992e-06,2.60702955861395e-06,0,2.5953824641814e-05,0,0,0,1.98562041866432e-07,0,1.86433818596103e-06,0,0,0,0,0,2.05451017697795e-06,0,0,0,0,2.32732060531563e-07,0,5.33802064801598e-07,0,0,0,0,0,0,0,0,0
msp_0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11203116740356e-09,0,0,0,0,0,0,0,0,0,0,0
msp_0005,1.01177132938031e-07,3.92382378958972e-08,1.84342888831241e-07,0,4.78816256258154e-05,2.2354757211293e-06,5.16795422494723e-07,2.69333127455877e-07,0,0,4.13994574637858e-06,0,3.28065103999876e-05,0,3.07637524151838e-05,0,1.82765651060914e-08,3.48919345018191e-05,1.78072220379153e-05,0,0,1.24367993047399e-07,1.07301068926849e-05,3.3408875856514e-08,0,1.74800950380827e-06,8.42697559322831e-06,1.06913386126138e-06,7.76044251363653e-07,1.80265657691308e-07,5.59518048996661e-08,6.03795032520583e-07,0,1.63050759378527e-06,6.87223142996741e-07,1.90226909940141e-06,0,2.51337082455776e-07,3.25998558692302e-06,2.86786070954416e-06,0,7.02802261085852e-08,2.91450723112941e-06,5.58454565550026e-07,1.30077981826617e-05,0,9.53059875584906e-06,1.29653677383993e-05,3.84535365228297e-07,1.88509317002286e-05,3.79682281266611e-08,6.19335382310789e-05,0,5.61077712490246e-08,1.11385186868106e-05,0,4.12583068886921e-07,0,0,2.91231604330569e-07,4.53497935702678e-07,7.49321296605765e-08,3.67922295381011e-07,1.89441680200809e-07,0,8.87281702084619e-08,0,0,5.2438210327982e-06,5.10175945561739e-07,2.0503278352815e-07
msp_0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55694150605191e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03300439120517e-08,0,0,0,0,0,0,0,5.8201730650197e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97923088659148e-06,0,0,0,0,0,0,0,0,0,0,0,0
msp_0007,7.29430314394581e-08,8.1090596451891e-07,5.53628475099892e-06,0,2.04391752829887e-06,0,1.52310136571273e-07,2.7295324006955e-05,0,5.56752704838709e-06,2.04782568936189e-06,7.01801054030758e-06,0,1.21218662379071e-06,4.51966407586682e-07,4.62898452975474e-06,2.85273586887459e-06,1.61552113625183e-08,2.5480992213207e-06,2.16077738192585e-05,7.2485787774582e-07,9.42053413943548e-06,0,3.36314247230371e-06,4.6447075250904e-07,2.67212881105932e-07,1.04164830371746e-05,0,7.62214306208562e-07,2.32348257313783e-06,2.00173603963256e-07,3.93013572527647e-07,2.09116897662648e-06,1.24001612060278e-06,0,0,0,4.96890576912874e-07,2.44936344376116e-07,2.15591542299849e-06,1.60952043862368e-06,5.46983338090638e-06,5.58526904494693e-06,4.61488376960791e-05,5.04265097952792e-05,2.16773312200047e-05,1.44946065007707e-08,0,3.14138310660022e-06,1.09639216912556e-05,0,9.76644552172565e-06,0,0,8.10468614088396e-07,5.03008932242331e-06,1.58229392567332e-05,1.9432771751279e-07,3.24118170628312e-06,1.01355309888518e-06,2.98384407612871e-05,3.40063668231131e-08,1.61119205440507e-06,3.02477921060218e-07,5.62756524850041e-07,8.06559394592306e-06,1.91816637046105e-05,2.24650038686726e-05,2.35913958042037e-07,1.24045170387143e-05,0
msp_0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53865492122576e-06,1.1880086525552e-07,0,0,1.6683968334722e-05,0,0,9.33450215942681e-07,0,0,0,1.41755254764812e-07,0,3.72184098538062e-06,0,2.66160159996982e-06,0,2.70511933758189e-06,0,0,0,0,0,0,0,0,9.94624988700902e-08,0,8.91491136980734e-06,0,1.6918673634759e-06,6.57896227812748e-08,9.10806086878358e-06,1.47135129175212e-06,0,8.23063419058412e-06,4.39688912961575e-08,0,0,0,1.15028591947494e-06,9.21925360432654e-07,0
msp_0009,2.29950976986953e-09,0,0,0,7.74624151968461e-07,9.50307721060373e-09,1.03872440095449e-07,2.89119227388606e-08,4.79738487724767e-08,4.0566216801133e-07,1.08390412885946e-07,6.76511190530435e-06,1.94341199480245e-08,1.92221416639392e-07,0,1.90624403598965e-08,8.71352485537661e-08,1.02374440612604e-07,8.29998420487331e-08,1.25308152057096e-07,8.45125399006947e-07,0,3.16935982015873e-08,0,0,0,7.88726986430106e-07,0,6.70627752855532e-09,2.33321972258354e-08,0,0,1.36689936677677e-06,0,0,8.93140438500054e-09,0,0,0,0,8.62545068491099e-06,1.21586741111549e-08,3.37251194428099e-07,1.37282279051537e-08,1.34343535300042e-07,2.39580829782702e-08,2.55894879893617e-07,1.33883473955267e-07,9.71778451707722e-08,1.67195761089826e-06,0,9.55941070553909e-08,0,1.84796515578993e-07,6.31916609176327e-09,1.6040351013796e-06,0,1.47701646031492e-08,1.51144309102164e-06,0,1.81213738775054e-07,2.4014893201233e-08,2.86154322015287e-08,0,0,2.07017414973678e-08,2.29089122990473e-08,2.09890077587813e-07,0,1.13464103780675e-07,0
msp_0010,2.76288257152187e-07,0,0,0,0,3.37501339761156e-06,1.06144307073584e-06,0,0,0,2.23861005367502e-07,4.47166160860474e-06,0,0,7.2526117413402e-09,0,0,0,3.07316357942972e-05,0,2.61919653624386e-06,3.65075454739235e-08,4.02534069554032e-06,1.69693699180969e-08,5.45020526937177e-06,0,0,4.46030991853778e-05,0,0,3.68304518480143e-06,0,2.09399896405401e-06,7.04831147155991e-06,2.39557974386741e-06,0,0,0,1.4399118921366e-07,0,0,0,5.74901109445229e-08,0,0,0,5.89874587836451e-07,0,4.63659352251652e-08,0,0,1.55564792408212e-05,0,0,0,5.99752181806827e-07,0,0,0,0,1.90746746098864e-06,0,0,4.75045612673694e-08,0,0,7.14906131897732e-07,0,0,0,0
msp_0011,8.80157329252963e-07,1.21086355235676e-08,1.54865246328442e-06,0,2.62824101823722e-05,4.59424832142787e-06,3.64038098918757e-06,0,0,3.34110049213541e-06,6.03836657737315e-07,1.2881385491634e-06,0,8.38516240070186e-07,1.77155749812021e-06,1.00076080016273e-06,4.27036146389607e-06,0,7.14999781395265e-06,6.54028507744641e-06,3.3602164280422e-07,0,9.87118173326724e-07,8.5873485615343e-06,1.874870508283e-06,4.10900330032969e-07,0,3.89607175046099e-06,1.00216053144408e-06,9.36779265403957e-07,2.68554559578315e-07,0,3.02842774773723e-06,0,1.5556746068569e-07,0,0,9.33317875350891e-08,1.50950109990546e-06,1.84665733276492e-06,2.96478442344954e-06,1.89696606953858e-06,0,3.30606851542094e-06,1.66337859116337e-05,2.68320389141831e-06,1.58135377491879e-06,0,1.94021763659021e-06,0,0,1.54321367684652e-05,0,8.08347069764433e-06,7.9800050562584e-07,0,2.33069150400456e-06,6.07414952739532e-07,4.46073639463109e-07,2.0159420675039e-07,9.28746858389001e-07,0,1.20007066481146e-06,3.68990278761098e-06,3.75142716218682e-08,8.72355348530806e-07,7.74013389424971e-06,2.10280983187197e-07,0,1.4903041403904e-06,0
msp_0012,2.27091351800048e-06,1.70371116055483e-06,3.36605527440181e-06,0,7.70839034753198e-07,9.65098594043637e-06,2.59462509945995e-06,1.54561671633124e-06,2.84168903506377e-06,0,3.32070018381049e-06,3.59407365242179e-05,0,9.38820918744201e-06,5.31140131971356e-06,4.10742782904401e-06,0,3.89535688478354e-06,5.05939557828516e-06,1.73679767093809e-06,6.0567847585082e-06,1.68200237817332e-05,0,8.21794581497182e-06,2.99461121112987e-06,1.28464320799705e-06,0,0,9.58267651659319e-07,1.41906069019994e-06,1.01552489084087e-06,1.51692976336776e-06,4.18396155174942e-07,3.932824924775e-06,1.11770107347625e-06,1.29422128776841e-06,0,1.70501794345153e-06,1.67188428991504e-06,2.3930201802553e-06,1.20887314595005e-05,6.4870524110415e-06,6.72948122365396e-06,4.58984055884566e-06,4.59275280221371e-06,1.20508940633167e-06,2.85446083474412e-06,0,2.67058589161525e-06,6.28779122972522e-06,0,0,0,5.95678690777328e-06,3.70231138953861e-06,1.44080432082671e-05,2.5589946985682e-06,0,6.5700746456749e-06,3.29240777962081e-07,9.47666845181275e-06,7.39304391247306e-06,8.70969186775795e-06,3.65762893312487e-06,7.42565442819211e-07,2.27541135798812e-06,8.29673852078532e-07,4.34383039406858e-06,8.58698513308665e-07,1.58501170989446e-05,1.71183639660209e-06
msp_0013,9.52886230749621e-07,1.39573157523958e-06,9.74334943495927e-07,0,0,0,9.01077029942569e-06,0,0,6.68587483257794e-06,0,0,5.25958935693858e-07,0,0,0,1.25287119491469e-06,1.82216581516372e-07,0,6.00810125178105e-07,8.41423546033994e-07,0,1.92970363654163e-06,0,7.08080657402513e-08,2.88109653250025e-06,0,3.55779236767518e-07,1.02251146126265e-05,3.44550938617765e-06,5.79537480037265e-06,4.42618561323115e-06,0,2.51096517222645e-08,1.8318473732744e-06,1.59785518942054e-07,0,2.09543595604587e-06,0,0,0,4.81770147536745e-06,1.12052827440873e-06,0,4.93301460684023e-08,0,6.82082961366215e-07,0,8.96214064112025e-07,0,1.31022161640785e-07,0,0,0,0,0,0,0,0,0,0,3.71515348044991e-08,1.31910231810403e-07,8.38679553541119e-06,6.67123572179973e-08,1.29049772679181e-05,6.11237979899614e-07,0,5.06902553967124e-06,0,3.7637397191245e-06
msp_0014,0,0,9.56610095766845e-09,0,0,9.91314969600413e-08,6.33848776297058e-08,0,0,3.08436283703178e-08,1.79664355855132e-07,0,6.89847004997775e-08,6.24403076193011e-07,8.43631670486606e-09,0,0,4.09643427229115e-07,3.7458939775175e-07,0,7.79572586939694e-09,0,8.33751443839764e-09,0,0,0,8.00165043254726e-08,0,1.24910567468405e-08,1.51500577474754e-08,1.16476794603667e-07,1.47643514931884e-07,7.76740445885793e-07,0,0,6.36803010787457e-07,0,0,2.21110496319062e-08,1.07401718179461e-08,1.15356054181316e-07,3.58538066793132e-08,1.4344005697923e-07,1.28952481774523e-08,0,3.19589499941816e-08,7.31071972386667e-08,0,6.02937596730746e-08,0,0,0,0,1.55095697193955e-08,7.99420201836657e-08,0,5.16105769515509e-08,7.36682829028023e-08,8.70015771683408e-08,3.74416638572811e-07,1.45107608157685e-08,1.14264489591106e-07,1.16926155400634e-08,0,0,1.58155318676795e-08,1.0940233084038e-07,0,0,1.94658601857172e-07,0
msp_0015,1.4820514239149e-06,2.47484131309335e-06,1.22990471823556e-06,0,1.55499783787408e-05,0,9.10662838132992e-07,0,0,6.27438074860888e-07,8.20095297015369e-08,0,1.74526343720785e-07,0,3.41597212587643e-07,0,1.8662847029649e-06,4.25921062536855e-08,3.57590118532979e-07,8.76162299879688e-08,0,1.20747747924641e-06,2.4238291819353e-08,0,3.03449543319008e-06,5.41542621265425e-06,0,9.60279289777699e-06,3.57313215770398e-07,1.45357124462132e-08,1.60661510564797e-07,8.53228722855349e-08,0,1.67380191990565e-07,1.4397400919462e-06,9.04958910885177e-07,0,2.71055303020406e-06,1.73704267108503e-08,0,1.22128717489853e-06,3.4492826942223e-08,0,0,3.93350274667028e-06,0,2.11480281282483e-07,1.77026522615171e-06,0,0,0,4.12827579098367e-06,0,2.33377130692694e-06,1.25948114191877e-06,0,0,0,0,1.01396875760611e-07,0,8.33626771576452e-08,2.33024909330179e-06,1.96508964152623e-06,8.28920307499365e-07,2.78734478014273e-07,0,0,0,7.55520713287082e-08,0
msp_0016,0,0,0,0,0,0,0,0,0,0,1.37522109567859e-06,0,0,2.42932924070191e-07,3.08938899213282e-06,0,0,6.04398351096565e-08,0,0,0,0,0,0,0,3.87896089061479e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.79756173012457e-06,4.56206848716187e-06,2.26736229634435e-06,0,0,0,0,0,2.33138104443283e-06,0,0,5.9614112238743e-06,0,0,0,0,0,0,0,1.33275048017856e-05,0,0,0,0,0,2.98665647040862e-05,0,0,0,0,0,0,0
msp_0017,3.20576005865538e-06,1.22626750513667e-07,2.12782463431472e-07,0,0,0,8.83883299117589e-08,0,0,1.53926534747509e-06,7.05244520916097e-08,0,0,0,0,0,4.29319581069414e-07,3.0313050367601e-08,0,4.57336014327084e-07,3.69136887588908e-06,3.66647531238913e-07,6.18093773338771e-08,4.39003667192002e-06,8.60458382551812e-06,8.5516633138385e-08,0,5.47190486335963e-06,0,1.03105515660027e-06,1.09813982973179e-06,0,0,5.82249696052987e-07,4.67862814240548e-06,9.08941167103489e-08,0,8.28944987202673e-08,7.42707112363354e-08,0,2.27079147938018e-08,3.19100653260914e-07,0,0,2.46352266703845e-07,0,1.66964624923979e-07,1.18853302204588e-07,0,0,0,9.45815046839313e-07,0,2.59827223607068e-07,4.84273211780946e-08,0,0,0,0,0,0,7.4986807846755e-09,1.44457334691378e-06,1.52320914888915e-06,5.57589352013172e-07,0,3.51813917340081e-07,0,7.82147355018901e-07,0,2.60180754893828e-07
msp_0018,0,0,8.2061561036096e-09,0,2.65826856042041e-07,2.31701974504763e-08,1.97097495513489e-08,2.63915675648349e-08,0,6.00532107536264e-08,0,4.78060734508025e-08,0,7.17606689003675e-08,9.65579904197805e-09,0,0,0,9.4006685648128e-08,0,6.0766305465934e-07,0,0,0,0,0,2.93777260789574e-07,0,0,0,1.23368183524154e-07,1.79568353735042e-08,0,7.70090908257641e-08,0,7.92668484731727e-08,0,0,1.76694073157134e-08,5.92741445247647e-08,3.71942990427218e-07,1.79944646195396e-08,6.20106430360456e-07,0,0,1.36927967679191e-08,1.48161996888027e-07,0,0,0,0,0,0,0,4.22566212152851e-08,3.12283430430678e-07,0,0,0,0,6.92058233349238e-07,4.4260488538874e-08,0,0,0,0,8.98106828286223e-08,6.02832555532173e-07,0,1.14786084369326e-08,0
msp_0019,0,3.51878605044194e-06,0,0,0,1.16466423401786e-06,0,7.11974957148202e-08,4.06562951166962e-08,0,1.58682174750243e-06,1.90616664356354e-05,0,0,0,0,0,7.1213373861786e-07,0,0,2.95889495556809e-06,9.69057119487743e-06,0,0,0,0,5.62247639136313e-05,0,0,3.31238564169143e-06,0,1.48586118274891e-06,0,0,0,9.30096351816639e-07,0,4.36858814462806e-06,0,4.5230362236282e-07,0,0,0,0,0,0,0,3.80200392953376e-05,0,0,0,0,0,0,0,2.75493543741213e-06,0,0,1.93708683230676e-06,0,0,1.66728386808981e-06,0,0,2.41751845134395e-07,0,0,4.40552482752417e-05,2.8974200456511e-06,0,4.74150656351551e-06
msp_0020,0,0,0,0,1.09104329449197e-06,0,0,0,0,1.39119390204709e-08,7.02025632880339e-08,0,3.33597754564901e-08,1.48689930446877e-08,0,4.92285655710847e-08,0,0,5.63891732889056e-07,3.47063258139294e-08,3.1944322773482e-08,0,0,0,0,0,6.90817701768916e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4049778686911e-08,2.24392539891941e-08,9.63311772968789e-08,3.78338127790131e-07,1.23112205799373e-08,3.31633341333596e-07,1.60580947336259e-07,0,0,2.91230440915963e-06,0,4.92981516772516e-08,0,2.01109621697036e-08,0,4.24043239476956e-08,2.42046844501319e-07,0,6.38774104003681e-07,0,1.1607699084287e-07,0,0,0,0,0,0,5.26816241166608e-06,0,2.92613101147028e-06,0
msp_0021,3.28337144700807e-06,0,2.64579908531318e-08,0,0,7.25809393588102e-06,0,1.71881129928883e-06,0,0,0,3.26366709405875e-06,1.42990650049916e-05,0,5.06974565236983e-07,1.30468141304146e-06,0,3.14302473650339e-07,0,0,3.87117995690303e-06,0,3.2759399802692e-07,0,9.99714190821232e-07,2.95658006434567e-07,0,1.2681820061762e-05,1.34526207620519e-06,7.42111158823477e-07,0,7.32243332404122e-08,6.8559334093272e-07,0,1.96586991366156e-06,3.73860225623439e-07,0,0,2.47593155148488e-07,0,0,1.04389119477594e-07,1.50616362304245e-06,1.48158445024677e-07,0,1.43462280595672e-07,1.68993169389625e-06,0,0,0,0,0,0,4.38161660155259e-06,1.26452983327354e-07,0,3.01206628572579e-08,3.10984917286731e-07,3.53980089591996e-07,4.37254549628514e-08,0,3.53126829922823e-08,3.68059612099219e-06,5.48031962825297e-07,1.08920694290262e-06,0,0,0,3.67008522635956e-07,0,0
msp_0022,0,0,0,0,0,1.38104658983746e-05,0,0,0,0,2.96693061935843e-06,5.48223580113258e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35416098076693e-06,1.08457310509037e-05,0,0,1.55778204765058e-08,0,0,0,2.9249462063761e-07,0,0,0,0,0,0,4.5814457439029e-07,0,0,0,1.68622818730647e-06,0,0,0,0,0,0,0,0,1.29781074254211e-05,0,0,0,1.02822179704353e-07,0,1.83127694195352e-07,0,0,7.75442523775067e-07,0,0,0,2.44579151321416e-06,0,0
msp_0023,3.95448139781968e-06,0,2.47344894550919e-06,0,0,0,0,5.45537761279873e-06,7.57305309541106e-06,0,5.39382908662611e-06,0,0,6.20251618124215e-06,1.56790085084801e-06,0,0,2.18403047643702e-06,5.91969345551877e-06,0,1.02925275580687e-06,3.56354145973314e-06,0,0,3.17864925106487e-06,2.31393971771832e-06,0,0,0,3.31200297940202e-06,3.96115113584845e-06,9.17169717063818e-06,1.66460464884639e-05,2.08327356314512e-06,3.7797309541086e-06,2.45556231821002e-06,0,0,1.45997665237372e-06,3.6742653372857e-06,2.87683694758845e-06,0,3.55280856488991e-06,0,0,0,3.41085809792698e-06,0,0,0,0,0,0,0,4.75779904432981e-07,0,0,0,1.36108944818174e-07,1.2013952172101e-05,0,2.4589885252149e-06,2.79754755872949e-06,0,5.25702897699954e-06,0,0,0,3.09470094753078e-06,0,0
msp_0024,0,0,0,0,3.71123467247435e-07,2.39634558406754e-08,2.07110590632777e-08,0,0,0,9.88439972230888e-09,1.05032709056825e-07,4.98205041707204e-08,0,0,0,0,0,1.02302549955014e-06,0,4.0923331164039e-08,0,0,0,0,1.63044042410112e-07,0,0,3.03097196642175e-08,1.95489339476662e-08,0,2.77145936274223e-06,2.38160613131097e-07,0,0,4.90510348622619e-09,0,0,0,0,0,1.02178539507733e-08,1.68480513841535e-07,0,0,1.00493906413502e-08,0,3.65529091897362e-07,0,0,0,0,0,2.73075372379849e-08,0,7.12205216451581e-08,7.87905840492326e-09,0,9.58818645482651e-09,0,4.99044359051952e-08,0,0,0,0,0,1.97559907743849e-08,4.84451282712734e-08,0,0,0
msp_0025,0,0,9.60660561555591e-07,0,0,3.53891538779739e-06,0,5.71587977544725e-07,8.2282264808868e-08,0,0,0,0,0,4.86109360105724e-06,0,0,9.62640286413157e-06,2.81516451953179e-06,0,0,0,0,0,1.40072338948566e-08,4.07459684023388e-06,0,0,0,5.29088304003765e-07,1.67422293997135e-05,5.12901837106947e-06,0,3.30610445023505e-07,0,2.40373855197801e-05,0,0,2.23967721113143e-06,0,0,0,0,0,0,0,8.23268208059438e-06,0,0,0,0,0,0,8.85069157041836e-07,2.06517067014089e-06,3.10225554946524e-06,0,1.1113242086196e-06,0,1.25741248246042e-05,1.25939991394144e-05,3.43860523258302e-05,6.98694627650629e-06,0,0,0,0,1.98502669669807e-06,0,0,0
msp_0026,8.18366328945674e-07,5.51182486866715e-07,0,0,0,0,0,0,0,0,0,0,0,1.91112007647004e-08,9.29474092771932e-07,0,0,1.75919959997544e-07,0,0,0,0,3.25500071216985e-07,5.27226273579356e-06,0,0,0,0,0,0,0,3.3534080010515e-07,0,0,1.67541785542928e-07,1.07564304181515e-06,0,7.47248163789434e-07,3.35213767173287e-07,1.67820743432258e-07,4.8007124021012e-06,0,0,0,0,0,3.16086798638613e-06,0,0,0,0,0,0,0,4.41683640659564e-06,0,0,0,9.09010749018964e-07,0,0,1.59339824981467e-06,0,2.65592116154743e-06,1.75539980800851e-06,0,0,0,6.56083259596392e-06,0,6.08686229622288e-07
msp_0027,0,2.33636205058426e-06,2.67435226916541e-06,0,0,5.41934398387264e-07,1.86341831697361e-06,0,0,7.21106543538589e-06,6.26140952596992e-06,7.70252579192205e-06,0,4.70799517023956e-06,2.8297338548841e-06,2.36052961930315e-05,2.04993368941714e-06,3.49693086032311e-06,5.74628886409978e-06,2.52405046428307e-06,4.28633192071873e-06,6.74476899865123e-06,9.70158889237261e-06,5.70271950742373e-06,3.3164682253372e-06,1.7182425154154e-06,0,1.11416090190415e-06,2.76298476892618e-06,1.85053482097265e-06,4.1529802072808e-06,1.27119649489385e-06,7.02688932707754e-07,0,0,2.70385935096974e-07,0,4.31877320551417e-06,1.91647665737824e-06,1.35751229954754e-06,5.87389885997056e-06,8.92211902733556e-07,6.60898301640502e-06,1.91662862369221e-07,1.14271784663704e-05,1.3167807654161e-07,3.48959280932316e-06,0,4.9195887507658e-07,1.19990565221797e-05,0,0,0,0,1.86001330690326e-06,1.98132147674824e-06,5.71726910491401e-07,3.14086033920994e-06,1.75663614919982e-06,7.62499722854273e-08,1.94296813607039e-08,3.82944405234631e-07,0,0,2.302497622606e-06,0,1.75734169588927e-05,1.28287024838539e-05,3.78638542229544e-06,1.08373932441653e-06,3.43634642121589e-06
msp_0028,0,0,0,0,0,0,0,0,0,1.28034398320905e-06,0,0,0,0,0,0,1.12236451795538e-06,2.62698467921237e-07,5.72360478312994e-07,9.63947511294135e-07,0,0,0,0,0,0,0,0,4.27151367126541e-07,7.91098155804754e-08,0,5.17080505595991e-06,4.04602724933003e-08,1.10467086451185e-06,0,3.88580441522477e-07,0,0,0,1.38374550932169e-06,0,0,0,0,0,0,3.74398133207611e-08,0,0,0,0,0,0,0,7.89164039889674e-07,0,0,0,2.84804083969176e-08,0,0,2.09901355849633e-06,0,0,0,0,0,0,0,0,0
msp_0029,2.13233090232018e-05,1.40254344555232e-06,4.98902896273587e-07,0,0,0,4.76316376395598e-06,0,0,1.93610079823561e-06,0,0,8.10783082891397e-06,5.04973878464134e-08,2.54023406436752e-06,1.83256869356044e-05,2.47137403528895e-06,5.29090441963627e-07,1.31118741114047e-06,2.22825749363651e-07,4.04861560765496e-06,3.3104557651908e-06,3.58843118512723e-07,0,1.46102824206839e-06,6.7083458767917e-06,0,2.08128081143304e-06,7.89593006537127e-06,2.96795125702244e-06,4.88013222667051e-08,2.49250323108684e-06,0,4.62778133305151e-06,6.03345365495143e-07,1.02571698843096e-06,0,1.93455087302196e-06,8.43320915750024e-06,2.05165120467397e-06,1.37443396326943e-06,1.5920498994552e-06,6.16533579360784e-06,0,1.48618902237887e-07,0,3.37201544704582e-06,8.05700552750693e-07,7.80903969171655e-06,0,1.34894422917885e-07,6.63294298921338e-08,0,5.45722556968441e-07,5.21804420222823e-06,0,0,5.2069641837056e-06,0,3.02006536857352e-07,0,2.7787644783399e-06,7.66066819114762e-07,2.10127029027223e-06,2.85757127854747e-06,2.87696373978275e-06,6.68864853757359e-06,0,5.0256469955748e-06,0,2.96494097353323e-08
msp_0030,0,0,0,0,3.25374288508699e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98973371132702e-06,0,0,0,0,0,0,0,0,2.54967537455892e-08,0,0,0,0,0,0,1.92912253495163e-05,0,3.69813307078061e-07,0,0,2.89381780804897e-06,0,0,1.15460173744068e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0031,4.07052575454294e-06,0,0,0,0,0,0,0,0,5.30925117502829e-06,2.73064107335557e-06,6.91652356758759e-07,0,5.5251850262895e-07,2.44314095038569e-07,2.84302932350086e-06,3.920908143286e-06,2.2534149973603e-06,0,2.58532298427935e-07,3.16980290693033e-05,1.37738083276482e-05,7.3777390312708e-07,9.96285990794319e-05,0,0,1.6504912029011e-07,5.2753803877429e-05,0,1.30387659411827e-06,2.02167963659209e-06,8.8152571429201e-07,0,2.21399227534069e-06,1.28165419938317e-06,1.04728940956804e-06,0,0,1.40336939772572e-07,0,2.63622883959647e-08,0,0,0,4.84288785284266e-06,0,3.90456400059061e-05,0,0,3.09051410383985e-05,0,0,0,0,6.47337337039037e-07,2.79924464089792e-05,0,2.80011945546729e-07,2.16311562575688e-06,1.28947621568657e-06,2.23061607232963e-05,3.13333800998821e-07,1.15696495115377e-05,0,3.65817626087344e-06,0,0,0,1.91076490630901e-06,0,1.33661479742092e-06
