,P20865_126_S107_L004,P20865_122_S103_L004,P20865_114_S95_L004,P20865_113_S94_L004,P20865_105_S86_L004,P20865_102_S83_L004,P20865_120_S101_L004,P20865_135_S116_L004,P20865_139_S120_L004,P20865_131_S112_L004,P20865_112_S93_L004,P20865_134_S115_L004,P20865_144_S125_L004,P20865_111_S92_L004,P20865_171_S152_L004,P20865_141_S122_L004,P20865_130_S111_L004,P20865_151_S132_L004,P20865_153_S134_L004,P20865_132_S113_L004,P20865_110_S91_L004,P20865_115_S96_L004,P20865_125_S106_L004,P20865_109_S90_L004,P20865_160_S141_L004,P20865_155_S136_L004,P20865_107_S88_L004,P20865_161_S142_L004,P20865_129_S110_L004,P20865_119_S100_L004,P20865_168_S149_L004,P20865_158_S139_L004,P20865_149_S130_L004,P20865_121_S102_L004,P20865_127_S108_L004,P20865_146_S127_L004,P20865_166_S147_L004,P20865_123_S104_L004,P20865_170_S151_L004,P20865_169_S150_L004,P20865_142_S123_L004,P20865_162_S143_L004,P20865_133_S114_L004,P20865_163_S144_L004,P20865_145_S126_L004,P20865_165_S146_L004,P20865_154_S135_L004,P20865_101_S82_L004,P20865_103_S84_L004,P20865_108_S89_L004,P20865_143_S124_L004,P20865_136_S117_L004,P20865_150_S131_L004,P20865_128_S109_L004,P20865_152_S133_L004,P20865_106_S87_L004,P20865_164_S145_L004,P20865_138_S119_L004,P20865_159_S140_L004,P20865_156_S137_L004,P20865_157_S138_L004,P20865_147_S128_L004,P20865_137_S118_L004,P20865_104_S85_L004,P20865_116_S97_L004,P20865_140_S121_L004,P20865_118_S99_L004,P20865_124_S105_L004,P20865_117_S98_L004,P20865_167_S148_L004,P20865_148_S129_L004
msp_0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76786697498339e-07,1.16732256627239e-08,0,0,0,0,0,0,0,5.01402800742145e-07,0,6.04184017807792e-08,0,4.20511387348211e-08,0,0,0,1.57635887787058e-07,0,4.06710508643388e-08,0,0,0,1.10628826150315e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0170,0,0,3.12875773102446e-06,0,0,0,0,0,0,0,0,0,0,2.01898036299972e-07,0,0,6.75294855352674e-07,5.86256633642074e-08,0,0,0,0,0,0,0,3.75864662603732e-07,0,0,0,0,0,0,0,0,0,3.02956581287014e-07,0,0,0,3.23389563178586e-06,2.72055182741864e-05,0,4.11141738309888e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83330472240095e-07,0,0,0,0,0,0,8.05197863062676e-08,0,0,0,0,0,0,0,0,1.76948479671403e-08,0,0,0,0,0,0,0,0,0,0
msp_0172,7.94066212299097e-08,5.31465076705623e-08,1.11247243851551e-06,0,9.22330885664432e-07,4.36692441592233e-07,1.8969571458851e-06,1.32985566184171e-07,0,2.1086642100723e-06,4.85435680415669e-07,8.18425550693926e-06,8.54586780772853e-08,9.09774599208784e-06,5.56741683761463e-08,2.02875512179196e-07,1.28984355883057e-07,2.9168771674857e-07,6.78742143082783e-07,1.93918522375836e-07,4.85526277146197e-07,4.77822542247735e-08,2.42171272518873e-06,1.29869651926925e-07,6.16767702874654e-08,1.17243823143769e-07,1.70243969294505e-06,1.51957161463129e-07,1.89400860731278e-07,5.67071390673088e-08,2.31562073201756e-06,5.72533027046053e-06,9.7932301507781e-06,7.33991526225563e-08,1.82636911272801e-06,3.69027232886395e-06,0,4.82993133941212e-08,1.40649887436094e-07,3.30820911237456e-07,3.40237437459623e-07,1.47935406080579e-06,1.08860661563951e-06,3.74975812530223e-07,1.79122855565846e-06,9.13744847358578e-07,4.06785485789844e-07,4.19080956510772e-06,4.46277636847346e-06,1.04231447309107e-05,0,0,0,2.03915837418371e-07,5.90237108215083e-07,1.93737138558384e-06,1.06627705959222e-06,3.24665894321057e-07,1.22829736517161e-07,2.08420861929172e-06,4.38090191874107e-07,1.63827387838738e-06,1.18080369333249e-07,7.4575248991833e-08,3.67133097308821e-08,8.05472528179269e-07,9.26121955236338e-07,1.01277189766285e-06,1.00462491210169e-07,4.26656504072918e-06,5.03062132822727e-08
msp_0173,0,4.29000717193131e-06,0,0,0,0,0,0,0,0,0,0,0,0,8.52204051493281e-07,0,0,3.8791799037907e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32581357849024e-07,0,1.47199865287637e-05,0,5.19010796045234e-06,0,9.6456478379538e-06,8.213941445492e-07,2.86177520407503e-07,1.08956956830082e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41495177800602e-06,0,0,0,0,1.33862856465182e-06,0,0,0,0,0,0,0,0,0,0,0
msp_0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15015886457111e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0175,4.657358594718e-07,6.42300202096937e-08,2.73452842540973e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79025845842041e-07,0,2.40257740928993e-06,0,0,0,0,0,5.22793242993665e-08,0,0,0,8.14717468748686e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3373297372706e-07,4.05354093441942e-08,0,0,0,0,2.92457978716801e-07
msp_0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44594285845326e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67025718071317e-05,0,0,0,0,0,4.03375016548726e-07,0,0,0,0,0,0,0,0,0,0,0
msp_0177,0,0,1.67312811419625e-08,0,0,0,0,0,0,0,0,0,2.37927207855674e-08,0,0,1.30342823726723e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17188235229848e-07,0,0,0,0,0,0,0,0,0,4.45715067587041e-09,0,0,0,0,0,0,0,2.0977503921211e-08,0,0,0,0,0
msp_0178,0,8.40203083306052e-07,0,0,0,0,0,0,0,0,2.30123217693331e-06,0,0,0,0,0,2.31067848668186e-07,2.01877722495392e-07,0,0,0,0,0,0,1.16118478869338e-06,1.36474976730537e-07,0,0,1.53223604466455e-06,0,0,0,0,1.02773656996967e-06,0,2.06766346987236e-07,0,1.58476556705191e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00131639496261e-07,0,9.21341869825661e-07,1.38225914605525e-06,0,8.84597106784736e-07,0,0,0,0,0,0
msp_0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73730728051568e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0180,0,0,0,0,8.59140755716308e-09,0,0,0,0,0,0,0,0,7.48292004321731e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.10264390587553e-07,0,0,0,0,0,4.57211030965003e-08,0,0,0,0,0,0,0,1.5167352391838e-07,0,0,0,0,0,0,0,0,4.85191013924086e-08,0,0,0,0,0,3.57493450723908e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90197892082972e-09,0
msp_0181,0,0,0,0,0,0,0,0,0,4.59946784343776e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37546069235435e-08,0,0,0,0,0,0,0,0,0
msp_0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04366640921658e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34500563305903e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23983966065192e-07,0,0,0
msp_0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3594766111612e-06,0,0,0,0,0,0,0,0,0,0,7.52035300984477e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67734632529692e-05,0,0,0,0,0,0,0,0,0,0
msp_0184,0,0,0,0,0,0,0,0,0,1.87364578589599e-06,0,0,0,0,0,0,6.01175936112645e-06,0,0,5.80577976744093e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73278996342393e-09,1.24747570819783e-08,0,0,0,0,0,0,0,0,0,0,1.74088237961706e-08,0,0,0,4.41426728005539e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19545121845486e-08,1.28736155001004e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98034519348196e-08,0,0,4.24643899068958e-08,0,0,0,0,0
msp_0186,1.38413444248663e-07,0,0,0,0,0,0,0,0,0,0,3.35821702024266e-07,0,0,0,0,0,0,0,0,1.94782721719889e-07,2.24459097259545e-08,8.90720351197236e-08,0,0,0,0,0,0,0,0,0,0,0,3.01647275418396e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.57328170449906e-07,0,0,0,0,0,0,0,0,0,0,0,0,5.41964429543581e-07,0,0,0,0,0,0,0,0,0,0
msp_0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37934369559332e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0188,4.29218563897104e-07,9.83829606326947e-07,2.91405900723729e-07,0,0,0,1.07961614345817e-06,0,0,0,0,0,0,0,2.0282032496614e-08,0,0,5.25724047332105e-07,0,0,3.16376444885275e-08,0,6.60496993234002e-08,0,1.41783140801578e-07,0,0,0,1.47200388308939e-07,4.94953509892119e-07,0,4.81383664028733e-08,0,5.7217870817652e-07,4.6419468483244e-06,2.06828712999152e-07,0,1.53382396898844e-06,9.46502272037487e-08,2.02606900428215e-07,0,0,0,0,0,0,0,0,0,0,0,3.23814440245062e-07,0,4.2131835864562e-08,0,0,0,2.22194803427471e-06,0,0,0,2.54559869827726e-07,1.82662550536072e-07,5.83720999196026e-08,1.50875014912878e-07,1.21174279925819e-06,4.52326846166814e-08,0,2.13382408172721e-07,0,2.21928212937278e-07
msp_0189,2.11679854254875e-08,0,0,0,0,0,4.39201620923361e-07,0,0,0,0,0,0,0,0,1.46061087306685e-07,0,1.14173182813917e-07,0,0,0,1.52603342624386e-08,0,0,6.96322714645017e-08,0,0,0,4.87310712044099e-08,0,0,0,0,2.81380161937048e-08,1.03687953044205e-07,0,0,0,2.28304460667523e-08,2.13371092877163e-08,0,0,0,0,0,0,0,0,8.71695671832647e-07,0,0,0,0,0,0,0,0,5.70169365015928e-07,0,0,1.84731572208641e-07,0,0,0,0,0,0,0,0,0,0
msp_0190,0,5.18307346479117e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12100989430547e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4722093313691e-07,0,0,0,0,0,0,0,0,0,0,0
msp_0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59381475835299e-06,0,0,0,0,0,0,0,0,0,3.76297284789724e-08,0,0,0,0,0,0,1.68771625309011e-05,0,0,0,0,0,0,3.2777800042597e-06,7.04590035116168e-06,0,0,0,0,0,0,0,0,7.43107052210602e-07,0,0,0,0,0,9.41882835760579e-07,0,0,0,4.60467141875552e-06,1.56057268151376e-06,0,0,0,0,6.15887806942959e-07,0,0,0,1.08155741945884e-06,0,0
msp_0193,0,0,0,0,3.95739235746664e-07,0,0,0,0,0,0,0,0,1.2404695000437e-08,0,0,0,0,8.29836422834721e-08,0,3.08259155226017e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84247719150908e-07,0,1.74919921346708e-08,0,2.19491876901193e-07,0,0,0,0,2.51901419135877e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63346094050304e-07,3.24120212550438e-07,0,0,0
