time, inp, bininp, pre, binpre
16:41:37, 3, 11, 3, 11
16:41:37, 5, 101, 5, 101
16:41:37, 5, 1010, 5, 101
16:41:37, 10, 01010, 8, 0001
16:41:37, 17, 100010, 16, 00001
16:41:37, 33, 1000010, 32, 000001
16:41:37, 72, 00010010, 64, 0000001
16:41:37, 66, 010000100, 64, 0000001
16:41:37, 48, 0000110000, 64, 0000001
16:41:37, 160, 00000101000, 192, 00000011
16:41:37, 320, 000000101000, 320, 000000101
16:41:37, 1040, 0000100000100, 1024, 00000000001
16:41:37, 192, 00000011000000, 1024, 00000000001
16:41:37, 2304, 000000001001000, 2048, 000000000001
16:41:37, 4608, 0000000001001000, 4096, 0000000000001
16:41:37, 3, 11, 4096, 0000000000001
16:41:37, 6, 011, 4096, 0000000000001
16:41:37, 10, 0101, 4096, 0000000000001
16:41:37, 9, 10010, 4096, 0000000000001
16:41:37, 3, 110000, 4096, 0000000000001
16:41:37, 3, 1100000, 4096, 0000000000001
16:41:38, 6, 01100000, 4096, 0000000000001
16:41:38, 48, 000011000, 4096, 0000000000001
16:41:38, 66, 0100001000, 4096, 0000000000001
16:41:38, 34, 01000100000, 4096, 0000000000001
16:41:38, 10, 010100000000, 4096, 0000000000001
16:41:38, 4608, 0000000001001, 4096, 0000000000001
16:41:38, 2050, 01000000000100, 6144, 0000000000011
16:41:38, 8208, 000010000000010, 8192, 00000000000001
16:41:39, 8320, 0000000100000100, 8192, 00000000000001
16:41:39, 3, 11, 8192, 00000000000001
16:41:39, 5, 101, 8192, 00000000000001
16:41:40, 3, 1100, 8192, 00000000000001
16:41:40, 12, 00110, 8192, 00000000000001
16:41:40, 40, 000101, 8192, 00000000000001
16:41:41, 48, 0000110, 8192, 00000000000001
16:41:41, 33, 10000100, 8192, 00000000000001
16:41:42, 6, 011000000, 8192, 00000000000001
16:41:42, 528, 0000100001, 8192, 00000000000001
16:41:42, 17, 10001000000, 8192, 00000000000001
16:41:43, 3, 110000000000, 8192, 00000000000001
16:41:43, 768, 0000000011000, 8192, 00000000000001
16:41:43, 8196, 00100000000001, 8192, 00000000000001
16:41:44, 8256, 000000100000010, 8192, 00000000000001
16:41:44, 2112, 0000001000010000, 8192, 00000000000001
16:41:44, 3, 11, 8192, 00000000000001
16:41:45, 5, 101, 8192, 00000000000001
16:41:45, 9, 1001, 8192, 00000000000001
16:41:45, 3, 11000, 8192, 00000000000001
16:41:46, 18, 010010, 8192, 00000000000001
16:41:46, 33, 1000010, 8192, 00000000000001
16:41:46, 6, 01100000, 8192, 00000000000001
16:41:47, 130, 010000010, 8192, 00000000000001
16:41:47, 257, 1000000010, 8192, 00000000000001
16:41:47, 36, 00100100000, 8192, 00000000000001
16:41:48, 65, 100000100000, 8192, 00000000000001
16:41:48, 48, 0000110000000, 8192, 00000000000001
16:41:49, 4104, 00010000000010, 8192, 00000000000001
16:41:50, 16512, 000000010000001, 24576, 000000000000011
16:41:52, 33, 1000010000000000, 24576, 000000000000011
16:41:53, 3, 11, 24576, 000000000000011
16:41:55, 5, 101, 24576, 000000000000011
16:41:57, 9, 1001, 24576, 000000000000011
16:41:58, 9, 10010, 24576, 000000000000011
16:42:00, 34, 010001, 24576, 000000000000011
16:42:02, 72, 0001001, 24576, 000000000000011
16:42:03, 66, 01000010, 24576, 000000000000011
16:42:05, 3, 110000000, 24576, 000000000000011
16:42:07, 72, 0001001000, 24576, 000000000000011
16:42:08, 5, 10100000000, 24576, 000000000000011
16:42:10, 36, 001001000000, 24576, 000000000000011
16:42:12, 1028, 0010000000100, 24576, 000000000000011
16:42:13, 68, 00100010000000, 24576, 000000000000011
16:42:15, 544, 000001000100000, 24576, 000000000000011
16:42:17, 8256, 0000001000000100, 24576, 000000000000011
16:42:18, 3, 11, 24576, 000000000000011
16:42:20, 6, 011, 24576, 000000000000011
16:42:21, 9, 1001, 24576, 000000000000011
16:42:23, 12, 00110, 24576, 000000000000011
16:42:25, 36, 001001, 24576, 000000000000011
16:42:26, 96, 0000011, 24576, 000000000000011
16:42:28, 129, 10000001, 24576, 000000000000011
16:42:30, 3, 110000000, 24576, 000000000000011
16:42:31, 272, 0000100010, 24576, 000000000000011
16:42:33, 520, 00010000010, 24576, 000000000000011
16:42:35, 80, 000010100000, 24576, 000000000000011
16:42:36, 2056, 0001000000010, 24576, 000000000000011
16:42:38, 1536, 00000000011000, 24576, 000000000000011
16:42:40, 2056, 000100000001000, 24576, 000000000000011
16:42:41, 16896, 0000000001000010, 24576, 000000000000011
16:42:43, 3, 11, 24576, 000000000000011
16:42:45, 3, 110, 24576, 000000000000011
16:42:47, 12, 0011, 24576, 000000000000011
16:42:48, 10, 01010, 24576, 000000000000011
16:42:50, 20, 001010, 24576, 000000000000011
16:42:52, 40, 0001010, 24576, 000000000000011
16:42:54, 96, 00000110, 24576, 000000000000011
16:42:55, 72, 000100100, 24576, 000000000000011
16:42:57, 264, 0001000010, 24576, 000000000000011
16:42:59, 768, 00000000110, 24576, 000000000000011
16:43:01, 40, 000101000000, 24576, 000000000000011
16:43:02, 4128, 0000010000001, 24576, 000000000000011
16:43:04, 4104, 00010000000010, 24576, 000000000000011
16:43:06, 513, 100000000100000, 24576, 000000000000011
16:43:08, 516, 0010000001000000, 24576, 000000000000011
16:43:09, 3, 11, 24576, 000000000000011
16:43:11, 6, 011, 24576, 000000000000011
16:43:13, 10, 0101, 24576, 000000000000011
16:43:15, 20, 00101, 24576, 000000000000011
16:43:16, 20, 001010, 24576, 000000000000011
16:43:18, 20, 0010100, 24576, 000000000000011
16:43:20, 24, 00011000, 24576, 000000000000011
16:43:21, 36, 001001000, 24576, 000000000000011
16:43:23, 384, 0000000110, 24576, 000000000000011
16:43:25, 65, 10000010000, 24576, 000000000000011
16:43:27, 384, 000000011000, 24576, 000000000000011
16:43:28, 2560, 0000000001010, 24576, 000000000000011
16:43:30, 8448, 00000000100001, 24576, 000000000000011
16:43:32, 520, 000100000100000, 24576, 000000000000011
16:43:34, 72, 0001001000000000, 24576, 000000000000011
16:43:35, 3, 11, 24576, 000000000000011
16:43:37, 5, 101, 24576, 000000000000011
16:43:39, 5, 1010, 24576, 000000000000011
16:43:41, 20, 00101, 24576, 000000000000011
16:43:42, 33, 100001, 24576, 000000000000011
16:43:44, 20, 0010100, 24576, 000000000000011
16:43:46, 80, 00001010, 24576, 000000000000011
16:43:48, 272, 000010001, 24576, 000000000000011
16:43:49, 96, 0000011000, 24576, 000000000000011
16:43:51, 20, 00101000000, 24576, 000000000000011
16:43:53, 1280, 000000001010, 24576, 000000000000011
16:43:55, 4100, 0010000000001, 24576, 000000000000011
16:43:56, 136, 00010001000000, 24576, 000000000000011
16:43:58, 18, 010010000000000, 24576, 000000000000011
16:44:00, 16640, 0000000010000010, 24576, 000000000000011
16:44:02, 3, 11, 24576, 000000000000011
16:44:03, 5, 101, 24576, 000000000000011
16:44:05, 9, 1001, 24576, 000000000000011
16:44:07, 10, 01010, 24576, 000000000000011
16:44:09, 3, 110000, 24576, 000000000000011
16:44:10, 24, 0001100, 24576, 000000000000011
16:44:12, 136, 00010001, 24576, 000000000000011
16:44:14, 66, 010000100, 24576, 000000000000011
16:44:16, 514, 0100000001, 24576, 000000000000011
16:44:17, 1032, 00010000001, 24576, 000000000000011
16:44:19, 144, 000010010000, 24576, 000000000000011
16:44:21, 136, 0001000100000, 24576, 000000000000011
16:44:22, 132, 00100001000000, 24576, 000000000000011
16:44:24, 2056, 000100000001000, 24576, 000000000000011
16:44:26, 2304, 0000000010010000, 24576, 000000000000011
16:44:28, 3, 11, 24576, 000000000000011
16:44:29, 6, 011, 24576, 000000000000011
16:44:31, 9, 1001, 24576, 000000000000011
16:44:33, 24, 00011, 24576, 000000000000011
16:44:35, 33, 100001, 24576, 000000000000011
16:44:36, 34, 0100010, 24576, 000000000000011
16:44:38, 3, 11000000, 24576, 000000000000011
