time, inp, bininp, pre, binpre
15:28:11, 66, 010000100000, 66, 0100001
15:28:11, 2560, 000000000101, 2560, 000000000101
15:28:11, 3, 110000000000, 2560, 000000000101
15:28:11, 10, 010100000000, 2560, 000000000101
15:28:11, 34, 010001000000, 2560, 000000000101
15:28:11, 640, 000000010100, 2560, 000000000101
15:28:11, 2560, 000000000101, 2560, 000000000101
15:28:11, 320, 000000101000, 2560, 000000000101
15:28:11, 2052, 001000000001, 2560, 000000000101
15:28:11, 2052, 001000000001, 2560, 000000000101
15:28:11, 1088, 000000100010, 2048, 000000000001
15:28:11, 272, 000010001000, 2048, 000000000001
15:28:11, 2112, 000000100001, 2048, 000000000001
15:28:11, 320, 000000101000, 2048, 000000000001
15:28:11, 9, 100100000000, 2048, 000000000001
15:28:11, 192, 000000110000, 2048, 000000000001
15:28:12, 2052, 001000000001, 2048, 000000000001
15:28:12, 1028, 001000000010, 2048, 000000000001
15:28:12, 1025, 100000000010, 2048, 000000000001
15:28:12, 516, 001000000100, 2048, 000000000001
15:28:12, 1088, 000000100010, 2048, 000000000001
15:28:12, 160, 000001010000, 2048, 000000000001
15:28:12, 3, 110000000000, 2048, 000000000001
15:28:12, 96, 000001100000, 2048, 000000000001
15:28:12, 2050, 010000000001, 2048, 000000000001
15:28:12, 528, 000010000100, 2048, 000000000001
15:28:12, 514, 010000000100, 2048, 000000000001
15:28:12, 1025, 100000000010, 2048, 000000000001
15:28:12, 513, 100000000100, 2048, 000000000001
15:28:12, 640, 000000010100, 2048, 000000000001
15:28:12, 272, 000010001000, 2048, 000000000001
15:28:12, 2052, 001000000001, 2048, 000000000001
15:28:12, 80, 000010100000, 2048, 000000000001
15:28:12, 2080, 000001000001, 2048, 000000000001
15:28:12, 1152, 000000010010, 2048, 000000000001
15:28:12, 516, 001000000100, 2048, 000000000001
15:28:12, 264, 000100001000, 2048, 000000000001
15:28:12, 136, 000100010000, 2048, 000000000001
15:28:12, 2056, 000100000001, 2048, 000000000001
15:28:12, 136, 000100010000, 2048, 000000000001
15:28:12, 384, 000000011000, 2048, 000000000001
